// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.07
// File Date:2022/05/15 14:21:39
// (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ176-CAD
SondeNo=0203
SensorType=D0D1T1C1C2K0U3O0TOP0TPQ0
SensorType2=030303030303030303030303
Channel=12
Comment=

PreHeat=1000
Interval=200
SampleCnt=641

StartTime=2022/05/15 14:21:39
EndTime=2022/05/15 14:23:49

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=-0.025
StartDepthA=0.110867202330568
StartDepthB=0.115915219511817

FilmNo=132002A
UseMicroMol=0

CoefDate=2013/12/04 15:09:19

Ch1=-5.57504600e-02,1.761468000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.42696500e00,1.069766000e-03,-1.25829700e-08,2.908103000e-13,-3.55209300e-18,2.587823000e-23,0.000000000e00,0.000000000e00,
Ch4=8.422311000e-03,3.828018000e01,-4.82623500e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.17189500e00,7.800747000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.52763100e00,1.444397000e-02,8.803937000e-08,-2.05935200e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.20210900e01,2.284779000e06,-6.28081300e03,1.020000000e-02,4.400000000e-03,0.000000000e00,-1.27905260e00,1.001023900e00,
Ch9=-5.65509000e00,1.025266000e-03,-8.37467000e-09,1.094405000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch10=6.513151200e00,4.097787250e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.06316300e00,1.735190000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=-8.02874000e01,8.496021000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,DO [%],Weiss-DO [mg/l],Quant. [µmol/(m2*s)],Mark,G&G-DO [mg/l],B&K-DO [mg/l],
5/15/2022 2:21:39 PM,0.109,28.838,50.541,78.861,72720.4,1033.848,33.847,0.796,0.796,1.501,7.551,89.977,5.242,66.609,0,5.254,5.257,
5/15/2022 2:21:39 PM,0.135,28.843,50.531,78.854,72707.1,1033.839,33.838,0.858,0.858,1.588,7.551,90.049,5.246,79.183,0,5.259,5.262,
5/15/2022 2:21:39 PM,0.112,28.842,50.531,78.853,72706.7,1033.838,33.838,0.881,0.881,1.850,7.552,90.061,5.247,144.347,0,5.260,5.263,
5/15/2022 2:21:40 PM,0.058,28.840,50.529,78.846,72704.4,1033.838,33.837,0.819,0.819,1.544,7.552,90.112,5.251,173.744,0,5.263,5.266,
5/15/2022 2:21:40 PM,0.013,28.840,50.528,78.845,72703.8,1033.837,33.837,0.897,0.897,1.821,7.552,90.250,5.258,162.699,0,5.271,5.274,
5/15/2022 2:21:40 PM,0.015,28.841,50.526,78.844,72700.9,1033.835,33.835,0.835,0.835,1.471,7.552,90.263,5.259,127.355,0,5.271,5.275,
5/15/2022 2:21:40 PM,0.057,28.841,50.531,78.850,72706.6,1033.839,33.838,0.850,0.850,1.603,7.552,90.192,5.255,120.389,0,5.267,5.270,
5/15/2022 2:21:40 PM,0.152,28.833,50.540,78.850,72718.8,1033.849,33.848,0.741,0.741,1.369,7.553,90.183,5.254,57.433,0,5.266,5.270,
5/15/2022 2:21:41 PM,0.211,28.822,50.585,78.896,72777.6,1033.888,33.887,0.764,0.764,1.530,7.555,90.312,5.260,78.333,0,5.273,5.276,
5/15/2022 2:21:41 PM,0.249,28.809,50.607,78.908,72806.5,1033.909,33.908,0.897,0.897,1.836,7.556,90.341,5.261,116.820,0,5.274,5.277,
5/15/2022 2:21:41 PM,0.282,28.797,50.626,78.915,72831.9,1033.928,33.926,0.913,0.913,1.763,7.557,90.275,5.257,129.224,0,5.270,5.273,
5/15/2022 2:21:41 PM,0.274,28.790,50.618,78.893,72822.0,1033.923,33.922,0.874,0.874,1.807,7.558,90.249,5.256,119.199,0,5.269,5.272,
5/15/2022 2:21:41 PM,0.253,28.793,50.624,78.907,72829.8,1033.927,33.926,0.819,0.819,1.544,7.559,90.346,5.262,92.862,0,5.274,5.278,
5/15/2022 2:21:42 PM,0.251,28.790,50.624,78.902,72829.8,1033.928,33.927,0.827,0.827,1.661,7.559,90.456,5.269,62.786,0,5.281,5.285,
5/15/2022 2:21:42 PM,0.272,28.787,50.635,78.913,72843.3,1033.937,33.936,0.858,0.858,1.821,7.558,90.496,5.271,85.810,0,5.284,5.287,
5/15/2022 2:21:42 PM,0.308,28.782,50.648,78.924,72860.7,1033.949,33.948,0.866,0.866,1.894,7.557,90.578,5.276,104.671,0,5.288,5.292,
5/15/2022 2:21:42 PM,0.390,28.787,50.643,78.924,72853.6,1033.944,33.942,0.881,0.881,1.909,7.557,90.674,5.281,82.666,0,5.294,5.297,
5/15/2022 2:21:42 PM,0.437,28.780,50.660,78.936,72876.1,1033.960,33.958,0.889,0.889,1.923,7.557,90.753,5.285,106.200,0,5.298,5.301,
5/15/2022 2:21:43 PM,0.456,28.771,50.672,78.939,72891.8,1033.972,33.970,0.874,0.874,1.938,7.557,90.795,5.287,103.566,0,5.300,5.303,
5/15/2022 2:21:43 PM,0.454,28.764,50.679,78.940,72902.5,1033.980,33.978,0.819,0.819,1.501,7.557,90.827,5.289,83.091,0,5.302,5.305,
5/15/2022 2:21:43 PM,0.451,28.763,50.679,78.938,72902.2,1033.980,33.978,0.811,0.811,1.559,7.558,91.047,5.303,60.322,0,5.315,5.319,
5/15/2022 2:21:43 PM,0.482,28.764,50.677,78.937,72899.8,1033.978,33.976,0.850,0.850,1.705,7.558,91.010,5.301,84.705,0,5.313,5.317,
5/15/2022 2:21:43 PM,0.553,28.767,50.677,78.941,72899.2,1033.978,33.975,0.803,0.803,1.661,7.557,91.063,5.304,131.009,0,5.317,5.320,
5/15/2022 2:21:44 PM,0.644,28.762,50.688,78.948,72914.0,1033.988,33.986,0.725,0.725,1.486,7.557,91.137,5.308,117.925,0,5.320,5.324,
5/15/2022 2:21:44 PM,0.732,28.758,50.695,78.952,72922.9,1033.995,33.992,0.788,0.788,1.646,7.558,91.219,5.313,96.770,0,5.325,5.329,
5/15/2022 2:21:44 PM,0.850,28.753,50.702,78.955,72932.8,1034.003,33.999,0.671,0.671,1.267,7.559,91.439,5.325,89.463,0,5.338,5.341,
5/15/2022 2:21:44 PM,0.925,28.751,50.706,78.957,72937.5,1034.007,34.003,0.632,0.632,1.151,7.559,91.503,5.329,102.632,0,5.342,5.345,
5/15/2022 2:21:44 PM,1.000,28.750,50.708,78.957,72940.5,1034.009,34.005,0.694,0.694,1.311,7.560,91.558,5.332,97.789,0,5.345,5.348,
5/15/2022 2:21:45 PM,1.066,28.749,50.705,78.952,72937.0,1034.008,34.003,0.796,0.796,1.486,7.560,91.653,5.338,106.795,0,5.350,5.354,
5/15/2022 2:21:45 PM,1.116,28.749,50.707,78.955,72939.7,1034.009,34.005,0.788,0.788,1.559,7.560,91.606,5.335,92.607,0,5.348,5.351,
5/15/2022 2:21:45 PM,1.154,28.748,50.708,78.955,72940.1,1034.010,34.005,0.780,0.780,1.501,7.561,91.785,5.345,77.654,0,5.358,5.361,
5/15/2022 2:21:45 PM,1.184,28.748,50.708,78.955,72940.9,1034.011,34.006,0.749,0.749,1.471,7.560,91.882,5.351,66.524,0,5.364,5.368,
5/15/2022 2:21:45 PM,1.222,28.750,50.706,78.954,72937.7,1034.008,34.003,0.725,0.725,1.428,7.560,91.897,5.352,59.557,0,5.365,5.368,
5/15/2022 2:21:46 PM,1.262,28.751,50.701,78.950,72931.3,1034.004,33.999,0.749,0.749,1.457,7.560,91.874,5.351,67.628,0,5.364,5.367,
5/15/2022 2:21:46 PM,1.309,28.753,50.700,78.952,72930.6,1034.004,33.998,0.749,0.749,1.471,7.561,91.909,5.353,89.633,0,5.366,5.370,
5/15/2022 2:21:46 PM,1.323,28.754,50.702,78.956,72932.8,1034.005,33.999,0.741,0.741,1.457,7.562,91.911,5.353,83.431,0,5.366,5.369,
5/15/2022 2:21:46 PM,1.333,28.755,50.701,78.955,72930.6,1034.003,33.997,0.749,0.749,1.442,7.563,91.990,5.358,72.131,0,5.371,5.374,
5/15/2022 2:21:47 PM,1.351,28.756,50.701,78.957,72930.5,1034.003,33.997,0.764,0.764,1.428,7.563,92.038,5.361,74.765,0,5.374,5.377,
5/15/2022 2:21:47 PM,1.380,28.755,50.703,78.959,72933.7,1034.005,33.999,0.757,0.757,1.413,7.563,92.053,5.362,65.334,0,5.374,5.378,
5/15/2022 2:21:47 PM,1.488,28.754,50.705,78.960,72935.7,1034.007,34.001,0.733,0.733,1.442,7.564,92.007,5.359,70.942,0,5.372,5.375,
5/15/2022 2:21:47 PM,1.599,28.754,50.706,78.961,72937.2,1034.008,34.002,0.718,0.718,1.209,7.564,92.084,5.363,64.995,0,5.376,5.379,
5/15/2022 2:21:47 PM,1.709,28.755,50.707,78.964,72939.1,1034.010,34.003,0.733,0.733,1.078,7.564,92.029,5.360,60.662,0,5.373,5.376,
5/15/2022 2:21:48 PM,1.806,28.754,50.712,78.970,72945.8,1034.015,34.007,0.725,0.725,1.136,7.564,92.080,5.362,72.301,0,5.375,5.379,
5/15/2022 2:21:48 PM,1.947,28.755,50.723,78.986,72959.3,1034.023,34.015,0.694,0.694,1.107,7.565,92.091,5.363,63.975,0,5.376,5.379,
5/15/2022 2:21:48 PM,2.023,28.755,50.727,78.992,72963.3,1034.026,34.017,0.671,0.671,1.092,7.565,92.005,5.357,59.387,0,5.370,5.374,
5/15/2022 2:21:48 PM,2.075,28.755,50.730,78.995,72967.6,1034.029,34.020,0.694,0.694,1.194,7.565,92.009,5.357,53.185,0,5.370,5.373,
5/15/2022 2:21:48 PM,2.099,28.753,50.741,79.007,72980.9,1034.037,34.028,0.694,0.694,1.209,7.565,91.921,5.352,62.191,0,5.365,5.368,
5/15/2022 2:21:49 PM,2.103,28.752,50.742,79.008,72983.3,1034.039,34.030,0.624,0.624,1.078,7.564,91.929,5.352,63.465,0,5.365,5.368,
5/15/2022 2:21:49 PM,2.105,28.752,50.745,79.011,72986.8,1034.041,34.032,0.616,0.616,1.063,7.565,92.046,5.359,57.178,0,5.372,5.375,
5/15/2022 2:21:49 PM,2.115,28.751,50.745,79.011,72986.8,1034.041,34.032,0.647,0.647,1.078,7.566,92.159,5.366,50.891,0,5.379,5.382,
