// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.07
// File Date:2022/05/16 07:37:42
// (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ176-CAD
SondeNo=0203
SensorType=D0D1T1C1C2K0U3O0TOP0TPQ0
SensorType2=030303030303030303030303
Channel=12
Comment=

PreHeat=1000
Interval=200
SampleCnt=365

StartTime=2022/05/16 07:37:42
EndTime=2022/05/16 07:38:56

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.13
StartDepthA=-0.0563995095929596
StartDepthB=-0.0551015909615381

FilmNo=132002A
UseMicroMol=0

CoefDate=2013/12/04 15:09:19

Ch1=-5.57504600e-02,1.761468000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.42696500e00,1.069766000e-03,-1.25829700e-08,2.908103000e-13,-3.55209300e-18,2.587823000e-23,0.000000000e00,0.000000000e00,
Ch4=8.422311000e-03,3.828018000e01,-4.82623500e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.17189500e00,7.800747000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.52763100e00,1.444397000e-02,8.803937000e-08,-2.05935200e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.20210900e01,2.284779000e06,-6.28081300e03,1.020000000e-02,4.400000000e-03,0.000000000e00,-1.27905260e00,1.001023900e00,
Ch9=-5.65509000e00,1.025266000e-03,-8.37467000e-09,1.094405000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch10=6.513151200e00,4.097787250e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.06316300e00,1.735190000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=-8.02874000e01,8.496021000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,DO [%],Weiss-DO [mg/l],Quant. [µmol/(m2*s)],Mark,G&G-DO [mg/l],B&K-DO [mg/l],
5/16/2022 7:37:42 AM,0.000,29.188,49.295,77.669,71116.9,1032.779,32.780,0.273,0.273,0.116,8.146,94.864,5.549,205.094,0,5.562,5.566,
5/16/2022 7:37:42 AM,0.000,29.187,49.292,77.664,71112.9,1032.777,32.777,0.265,0.265,0.073,8.146,94.978,5.555,205.604,0,5.569,5.572,
5/16/2022 7:37:42 AM,0.000,29.188,49.290,77.662,71110.6,1032.776,32.776,0.234,0.234,0.058,8.147,94.794,5.545,209.937,0,5.558,5.562,
5/16/2022 7:37:43 AM,0.000,29.187,49.286,77.656,71106.3,1032.773,32.774,0.234,0.234,0.102,8.147,94.926,5.553,206.708,0,5.566,5.570,
5/16/2022 7:37:43 AM,0.000,29.188,49.285,77.656,71105.0,1032.772,32.772,0.242,0.242,0.073,8.147,94.941,5.554,205.604,0,5.568,5.571,
5/16/2022 7:37:43 AM,0.000,29.188,49.285,77.656,71103.9,1032.771,32.772,0.242,0.242,0.058,8.148,94.987,5.557,205.774,0,5.571,5.574,
5/16/2022 7:37:43 AM,0.000,29.189,49.278,77.647,71095.4,1032.766,32.766,0.250,0.250,0.116,8.148,94.775,5.545,204.074,0,5.558,5.562,
5/16/2022 7:37:43 AM,0.000,29.187,49.280,77.648,71098.6,1032.769,32.769,0.250,0.250,0.116,8.149,94.893,5.552,197.363,0,5.565,5.568,
5/16/2022 7:37:44 AM,0.000,29.189,49.284,77.655,71102.8,1032.771,32.771,0.257,0.257,0.131,8.149,94.926,5.553,215.459,0,5.567,5.570,
5/16/2022 7:37:44 AM,0.000,29.188,49.285,77.655,71104.3,1032.772,32.772,0.242,0.242,0.073,8.149,94.978,5.556,215.119,0,5.569,5.572,
5/16/2022 7:37:44 AM,0.000,29.186,49.275,77.640,71092.6,1032.765,32.765,0.242,0.242,0.073,8.149,95.063,5.560,209.597,0,5.574,5.577,
5/16/2022 7:37:44 AM,0.000,29.187,49.275,77.641,71091.8,1032.764,32.765,0.242,0.242,0.087,8.151,94.916,5.552,201.780,0,5.566,5.569,
5/16/2022 7:37:44 AM,0.000,29.186,49.279,77.645,71097.1,1032.768,32.768,0.250,0.250,0.189,8.151,94.959,5.555,180.031,0,5.569,5.572,
5/16/2022 7:37:45 AM,0.072,29.187,49.286,77.656,71106.2,1032.774,32.773,0.226,0.226,0.087,8.151,95.019,5.558,191.670,0,5.572,5.575,
5/16/2022 7:37:45 AM,0.195,29.190,49.284,77.657,71103.5,1032.772,32.771,0.242,0.242,0.116,8.151,95.057,5.561,171.025,0,5.574,5.578,
5/16/2022 7:37:45 AM,0.256,29.189,49.287,77.660,71106.8,1032.774,32.773,0.242,0.242,0.073,8.152,94.977,5.555,189.886,0,5.569,5.572,
5/16/2022 7:37:45 AM,0.329,29.194,49.302,77.688,71125.3,1032.784,32.783,0.234,0.234,0.073,8.152,94.995,5.556,177.397,0,5.569,5.572,
5/16/2022 7:37:45 AM,0.393,29.202,49.298,77.693,71119.3,1032.779,32.777,0.234,0.234,0.102,8.152,94.868,5.548,183.514,0,5.561,5.564,
5/16/2022 7:37:46 AM,0.466,29.204,49.296,77.694,71116.2,1032.776,32.774,0.226,0.226,0.073,8.152,94.916,5.550,185.723,0,5.564,5.567,
