// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.07
// File Date:2022/05/16 08:45:57
// (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ176-CAD
SondeNo=0203
SensorType=D0D1T1C1C2K0U3O0TOP0TPQ0
SensorType2=030303030303030303030303
Channel=12
Comment=

PreHeat=1000
Interval=200
SampleCnt=659

StartTime=2022/05/16 08:45:57
EndTime=2022/05/16 08:48:11

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.06
StartDepthA=0.0731816626070322
StartDepthB=0.0760637820443191

FilmNo=132002A
UseMicroMol=0

CoefDate=2013/12/04 15:09:19

Ch1=-5.57504600e-02,1.761468000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.42696500e00,1.069766000e-03,-1.25829700e-08,2.908103000e-13,-3.55209300e-18,2.587823000e-23,0.000000000e00,0.000000000e00,
Ch4=8.422311000e-03,3.828018000e01,-4.82623500e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.17189500e00,7.800747000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.52763100e00,1.444397000e-02,8.803937000e-08,-2.05935200e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.20210900e01,2.284779000e06,-6.28081300e03,1.020000000e-02,4.400000000e-03,0.000000000e00,-1.27905260e00,1.001023900e00,
Ch9=-5.65509000e00,1.025266000e-03,-8.37467000e-09,1.094405000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch10=6.513151200e00,4.097787250e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.06316300e00,1.735190000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=-8.02874000e01,8.496021000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,DO [%],Weiss-DO [mg/l],Quant. [µmol/(m2*s)],Mark,G&G-DO [mg/l],B&K-DO [mg/l],
5/16/2022 8:45:57 AM,0.072,29.286,48.666,76.945,70315.2,1032.269,32.269,0.382,0.382,0.335,8.115,74.957,4.379,156.667,0,4.389,4.392,
5/16/2022 8:45:58 AM,0.074,29.286,48.663,76.941,70311.4,1032.266,32.266,0.398,0.398,0.364,8.114,74.942,4.377,155.902,0,4.388,4.390,
5/16/2022 8:45:58 AM,0.074,29.287,48.684,76.972,70338.6,1032.283,32.282,0.382,0.382,0.379,8.113,74.752,4.366,155.052,0,4.377,4.379,
5/16/2022 8:45:58 AM,0.072,29.285,48.674,76.956,70325.8,1032.275,32.275,0.382,0.382,0.408,8.112,74.618,4.359,152.843,0,4.369,4.371,
5/16/2022 8:45:58 AM,0.072,29.281,48.669,76.944,70320.7,1032.273,32.273,0.374,0.374,0.393,8.111,74.469,4.350,152.928,0,4.361,4.363,
5/16/2022 8:45:58 AM,0.067,29.281,48.656,76.925,70304.3,1032.264,32.263,0.374,0.374,0.422,8.110,74.277,4.339,152.758,0,4.350,4.352,
5/16/2022 8:45:59 AM,0.063,29.280,48.668,76.941,70319.2,1032.273,32.272,0.382,0.382,0.393,8.109,73.980,4.321,153.098,0,4.332,4.334,
5/16/2022 8:45:59 AM,0.063,29.276,48.677,76.947,70330.2,1032.280,32.280,0.382,0.382,0.393,8.108,73.776,4.309,154.288,0,4.320,4.322,
5/16/2022 8:45:59 AM,0.063,29.274,48.707,76.986,70369.1,1032.304,32.304,0.359,0.359,0.379,8.108,73.583,4.297,153.438,0,4.308,4.310,
5/16/2022 8:45:59 AM,0.067,29.272,48.714,76.993,70377.9,1032.310,32.310,0.359,0.359,0.379,8.106,73.443,4.289,151.229,0,4.299,4.302,
5/16/2022 8:45:59 AM,0.072,29.273,48.712,76.990,70374.5,1032.308,32.308,0.359,0.359,0.349,8.106,73.377,4.286,152.249,0,4.296,4.298,
5/16/2022 8:46:00 AM,0.077,29.274,48.723,77.006,70388.3,1032.316,32.316,0.351,0.351,0.393,8.105,73.198,4.275,155.307,0,4.285,4.288,
5/16/2022 8:46:00 AM,0.076,29.274,48.739,77.029,70408.8,1032.328,32.328,0.343,0.343,0.349,8.105,73.128,4.270,154.203,0,4.281,4.283,
5/16/2022 8:46:00 AM,0.070,29.278,48.757,77.060,70431.6,1032.341,32.341,0.382,0.382,0.349,8.105,73.156,4.272,158.791,0,4.282,4.284,
5/16/2022 8:46:00 AM,0.069,29.279,48.772,77.081,70449.3,1032.352,32.351,0.374,0.374,0.364,8.104,73.331,4.281,158.026,0,4.292,4.294,
5/16/2022 8:46:00 AM,0.070,29.282,48.800,77.125,70485.0,1032.372,32.372,0.367,0.367,0.379,8.104,73.316,4.279,156.072,0,4.289,4.292,
5/16/2022 8:46:01 AM,0.114,29.294,48.798,77.139,70480.2,1032.366,32.366,0.374,0.374,0.349,8.104,73.374,4.282,156.072,0,4.293,4.295,
5/16/2022 8:46:01 AM,0.189,29.300,48.792,77.139,70472.8,1032.360,32.360,0.390,0.390,0.393,8.104,73.484,4.289,158.111,0,4.299,4.301,
5/16/2022 8:46:01 AM,0.265,29.307,48.819,77.186,70505.5,1032.378,32.377,0.367,0.367,0.335,8.105,73.592,4.295,158.196,0,4.305,4.307,
5/16/2022 8:46:01 AM,0.319,29.312,48.822,77.198,70508.7,1032.379,32.378,0.359,0.359,0.320,8.105,73.764,4.304,154.373,0,4.314,4.317,
5/16/2022 8:46:01 AM,0.394,29.314,48.838,77.223,70528.8,1032.391,32.389,0.374,0.374,0.379,8.107,74.277,4.334,151.144,0,4.344,4.346,
5/16/2022 8:46:02 AM,0.457,29.366,49.034,77.565,70768.4,1032.521,32.519,0.343,0.343,0.262,8.107,74.558,4.346,152.079,0,4.356,4.358,
5/16/2022 8:46:02 AM,0.516,29.458,49.166,77.878,70922.0,1032.588,32.586,0.296,0.296,0.218,8.109,74.794,4.355,150.210,0,4.366,4.368,
5/16/2022 8:46:02 AM,0.570,29.498,49.160,77.927,70910.3,1032.570,32.568,0.304,0.304,0.189,8.111,75.124,4.373,147.491,0,4.383,4.386,
5/16/2022 8:46:02 AM,0.629,29.525,49.190,78.007,70944.6,1032.584,32.581,0.304,0.304,0.160,8.113,75.789,4.410,147.066,0,4.420,4.423,
5/16/2022 8:46:02 AM,0.700,29.538,49.210,78.053,70967.6,1032.594,32.591,0.289,0.289,0.102,8.118,77.037,4.480,146.132,0,4.491,4.493,
5/16/2022 8:46:03 AM,0.735,29.543,49.214,78.066,70972.7,1032.596,32.593,0.289,0.289,0.175,8.121,77.993,4.535,144.602,0,4.545,4.548,
5/16/2022 8:46:03 AM,0.777,29.557,49.244,78.127,71008.2,1032.614,32.610,0.296,0.296,0.146,8.123,78.914,4.587,143.838,0,4.597,4.600,
5/16/2022 8:46:03 AM,0.829,29.559,49.244,78.130,71007.8,1032.613,32.610,0.296,0.296,0.102,8.126,79.769,4.636,143.923,0,4.647,4.649,
5/16/2022 8:46:03 AM,0.867,29.563,49.264,78.164,71033.2,1032.628,32.624,0.281,0.281,0.116,8.129,80.704,4.689,142.903,0,4.700,4.702,
5/16/2022 8:46:03 AM,0.907,29.574,49.266,78.183,71034.4,1032.625,32.622,0.296,0.296,0.116,8.132,81.804,4.752,141.289,0,4.763,4.766,
5/16/2022 8:46:04 AM,0.940,29.574,49.279,78.200,71050.0,1032.635,32.631,0.296,0.296,0.102,8.135,82.493,4.791,142.563,0,4.803,4.805,
5/16/2022 8:46:04 AM,0.975,29.577,49.291,78.220,71065.2,1032.644,32.639,0.281,0.281,0.087,8.137,83.157,4.829,142.223,0,4.840,4.843,
5/16/2022 8:46:04 AM,1.027,29.581,49.321,78.268,71101.6,1032.664,32.660,0.281,0.281,0.116,8.140,83.644,4.856,141.544,0,4.867,4.870,
5/16/2022 8:46:04 AM,1.147,29.594,49.322,78.287,71101.9,1032.662,32.657,0.289,0.289,0.116,8.143,84.513,4.906,143.498,0,4.918,4.920,
5/16/2022 8:46:04 AM,1.210,29.589,49.315,78.271,71093.4,1032.658,32.653,0.281,0.281,0.102,8.144,84.939,4.930,142.563,0,4.942,4.944,
5/16/2022 8:46:05 AM,1.271,29.585,49.321,78.274,71101.9,1032.664,32.659,0.281,0.281,0.116,8.145,85.258,4.948,141.204,0,4.959,4.962,
5/16/2022 8:46:05 AM,1.344,29.587,49.328,78.286,71109.8,1032.669,32.663,0.296,0.296,0.131,8.147,85.784,4.978,141.799,0,4.989,4.992,
5/16/2022 8:46:05 AM,1.412,29.587,49.339,78.302,71124.2,1032.678,32.672,0.312,0.312,0.102,8.148,86.206,5.001,142.648,0,5.013,5.016,
5/16/2022 8:46:05 AM,1.492,29.592,49.350,78.324,71136.6,1032.684,32.678,0.312,0.312,0.131,8.151,86.603,5.024,140.949,0,5.035,5.038,
5/16/2022 8:46:05 AM,1.547,29.599,49.356,78.342,71144.1,1032.687,32.681,0.289,0.289,0.131,8.153,86.848,5.037,140.609,0,5.049,5.052,
5/16/2022 8:46:06 AM,1.582,29.600,49.351,78.338,71137.9,1032.683,32.676,0.281,0.281,0.131,8.154,87.013,5.047,140.354,0,5.058,5.061,
5/16/2022 8:46:06 AM,1.615,29.598,49.353,78.336,71139.9,1032.685,32.678,0.296,0.296,0.116,8.155,87.130,5.054,140.014,0,5.065,5.068,
5/16/2022 8:46:06 AM,1.655,29.599,49.347,78.329,71132.8,1032.681,32.674,0.289,0.289,0.116,8.156,87.280,5.062,140.099,0,5.074,5.077,
5/16/2022 8:46:06 AM,1.726,29.598,49.359,78.345,71148.4,1032.691,32.684,0.312,0.312,0.116,8.157,87.447,5.072,140.354,0,5.084,5.086,
5/16/2022 8:46:06 AM,1.772,29.599,49.358,78.346,71146.5,1032.689,32.682,0.304,0.304,0.102,8.157,87.506,5.075,140.439,0,5.086,5.089,
5/16/2022 8:46:07 AM,1.820,29.598,49.371,78.362,71162.6,1032.700,32.692,0.296,0.296,0.116,8.158,87.467,5.072,140.864,0,5.084,5.087,
5/16/2022 8:46:07 AM,1.883,29.599,49.364,78.353,71153.8,1032.694,32.686,0.312,0.312,0.146,8.158,87.571,5.078,141.204,0,5.090,5.093,
5/16/2022 8:46:07 AM,1.935,29.600,49.364,78.355,71154.4,1032.695,32.687,0.304,0.304,0.131,8.159,87.751,5.088,140.864,0,5.100,5.103,
5/16/2022 8:46:07 AM,1.994,29.600,49.367,78.360,71158.3,1032.697,32.689,0.289,0.289,0.087,8.160,87.718,5.085,140.524,0,5.097,5.100,
5/16/2022 8:46:07 AM,2.036,29.601,49.374,78.370,71166.7,1032.702,32.694,0.304,0.304,0.131,8.160,87.728,5.086,141.884,0,5.098,5.101,
5/16/2022 8:46:08 AM,2.090,29.604,49.392,78.399,71188.8,1032.715,32.706,0.296,0.296,0.146,8.161,87.812,5.091,143.413,0,5.103,5.106,
5/16/2022 8:46:08 AM,2.149,29.609,49.391,78.406,71187.3,1032.713,32.704,0.312,0.312,0.146,8.161,87.818,5.091,144.347,0,5.103,5.106,
5/16/2022 8:46:08 AM,2.229,29.605,49.390,78.398,71186.1,1032.714,32.704,0.296,0.296,0.131,8.161,87.918,5.096,145.622,0,5.108,5.111,
5/16/2022 8:46:08 AM,2.260,29.604,49.397,78.407,71195.3,1032.720,32.710,0.312,0.312,0.131,8.162,87.946,5.098,145.792,0,5.110,5.113,
5/16/2022 8:46:09 AM,2.297,29.603,49.404,78.414,71203.7,1032.725,32.715,0.304,0.304,0.087,8.162,87.887,5.094,146.301,0,5.106,5.109,
5/16/2022 8:46:09 AM,2.353,29.602,49.409,78.420,71210.8,1032.730,32.720,0.304,0.304,0.102,8.162,87.885,5.094,148.341,0,5.106,5.109,
5/16/2022 8:46:09 AM,2.413,29.602,49.416,78.430,71219.7,1032.736,32.725,0.312,0.312,0.087,8.162,87.938,5.097,149.785,0,5.109,5.112,
5/16/2022 8:46:09 AM,2.506,29.605,49.424,78.445,71228.6,1032.741,32.730,0.312,0.312,0.102,8.162,87.906,5.095,149.615,0,5.107,5.110,
5/16/2022 8:46:09 AM,2.570,29.610,49.440,78.475,71248.2,1032.751,32.740,0.320,0.320,0.102,8.162,87.983,5.099,150.889,0,5.111,5.114,
5/16/2022 8:46:10 AM,2.615,29.618,49.447,78.496,71255.9,1032.754,32.742,0.320,0.320,0.116,8.162,87.908,5.093,151.484,0,5.105,5.108,
5/16/2022 8:46:10 AM,2.669,29.619,49.442,78.489,71249.2,1032.750,32.738,0.304,0.304,0.102,8.162,87.939,5.096,152.164,0,5.108,5.111,
5/16/2022 8:46:10 AM,2.772,29.617,49.464,78.517,71277.8,1032.768,32.756,0.312,0.312,0.131,8.163,87.946,5.095,154.033,0,5.107,5.110,
5/16/2022 8:46:10 AM,2.834,29.618,49.470,78.527,71284.5,1032.772,32.760,0.304,0.304,0.102,8.163,87.950,5.095,154.373,0,5.107,5.110,
5/16/2022 8:46:10 AM,2.899,29.627,49.458,78.524,71269.4,1032.761,32.748,0.304,0.304,0.116,8.163,88.046,5.100,155.222,0,5.112,5.115,
5/16/2022 8:46:11 AM,2.965,29.622,49.465,78.526,71278.6,1032.768,32.755,0.328,0.328,0.131,8.163,87.891,5.091,156.327,0,5.103,5.106,
5/16/2022 8:46:11 AM,3.020,29.620,49.460,78.516,71272.1,1032.765,32.752,0.296,0.296,0.146,8.162,87.849,5.089,156.837,0,5.101,5.104,
5/16/2022 8:46:11 AM,3.092,29.633,49.508,78.601,71330.4,1032.796,32.783,0.296,0.296,0.160,8.163,88.018,5.098,158.366,0,5.110,5.113,
5/16/2022 8:46:11 AM,3.130,29.645,49.518,78.632,71341.7,1032.800,32.787,0.296,0.296,0.146,8.163,87.883,5.089,159.300,0,5.101,5.104,
5/16/2022 8:46:11 AM,3.177,29.647,49.519,78.637,71343.2,1032.801,32.787,0.304,0.304,0.116,8.162,87.943,5.092,160.320,0,5.104,5.107,
5/16/2022 8:46:12 AM,3.229,29.650,49.530,78.656,71356.0,1032.808,32.794,0.312,0.312,0.131,8.162,87.903,5.090,163.548,0,5.102,5.105,
5/16/2022 8:46:12 AM,3.299,29.651,49.526,78.652,71350.7,1032.804,32.790,0.304,0.304,0.102,8.162,87.859,5.086,166.437,0,5.098,5.101,
5/16/2022 8:46:12 AM,3.332,29.653,49.524,78.652,71348.5,1032.803,32.788,0.320,0.320,0.160,8.162,87.789,5.082,166.862,0,5.094,5.097,
5/16/2022 8:46:12 AM,3.380,29.654,49.530,78.662,71355.5,1032.807,32.792,0.304,0.304,0.146,8.163,87.869,5.087,168.986,0,5.099,5.102,
5/16/2022 8:46:12 AM,3.450,29.652,49.543,78.677,71371.9,1032.818,32.803,0.312,0.312,0.131,8.163,87.833,5.084,171.535,0,5.096,5.099,
5/16/2022 8:46:13 AM,3.495,29.652,49.540,78.673,71368.3,1032.816,32.801,0.312,0.312,0.116,8.163,87.716,5.076,171.790,0,5.088,5.091,
5/16/2022 8:46:13 AM,3.570,29.659,49.547,78.692,71376.5,1032.819,32.804,0.312,0.312,0.116,8.162,87.620,5.071,174.593,0,5.083,5.086,
5/16/2022 8:46:13 AM,3.638,29.662,49.561,78.717,71394.4,1032.829,32.814,0.304,0.304,0.131,8.162,87.675,5.074,180.201,0,5.086,5.089,
5/16/2022 8:46:13 AM,3.695,29.667,49.564,78.728,71397.4,1032.830,32.814,0.296,0.296,0.160,8.162,87.701,5.075,182.070,0,5.087,5.090,
5/16/2022 8:46:13 AM,3.749,29.667,49.569,78.735,71403.2,1032.833,32.817,0.289,0.289,0.146,8.162,87.598,5.069,182.070,0,5.080,5.083,
5/16/2022 8:46:14 AM,3.838,29.681,49.619,78.825,71464.5,1032.867,32.851,0.304,0.304,0.131,8.163,87.510,5.062,185.893,0,5.074,5.077,
5/16/2022 8:46:14 AM,3.883,29.686,49.615,78.825,71458.4,1032.862,32.846,0.312,0.312,0.146,8.162,87.494,5.061,188.527,0,5.073,5.076,
5/16/2022 8:46:14 AM,3.928,29.687,49.621,78.835,71466.0,1032.867,32.850,0.312,0.312,0.160,8.162,87.580,5.065,193.879,0,5.077,5.080,
5/16/2022 8:46:14 AM,3.984,29.687,49.628,78.846,71475.2,1032.872,32.855,0.320,0.320,0.160,8.163,87.501,5.060,203.310,0,5.072,5.075,
5/16/2022 8:46:14 AM,4.034,29.688,49.631,78.850,71478.5,1032.874,32.857,0.320,0.320,0.175,8.162,87.451,5.057,210.531,0,5.069,5.072,
5/16/2022 8:46:15 AM,4.130,29.688,49.636,78.857,71484.6,1032.878,32.861,0.343,0.343,0.102,8.162,87.410,5.054,209.852,0,5.066,5.069,
5/16/2022 8:46:15 AM,4.205,29.689,49.636,78.858,71484.5,1032.878,32.861,0.335,0.335,0.160,8.162,87.435,5.056,216.649,0,5.067,5.070,
5/16/2022 8:46:15 AM,4.250,29.689,49.635,78.858,71484.1,1032.878,32.860,0.328,0.328,0.116,8.162,87.374,5.052,245.875,0,5.064,5.067,
5/16/2022 8:46:15 AM,4.290,29.689,49.636,78.858,71484.1,1032.879,32.860,0.328,0.328,0.189,8.162,87.206,5.042,281.218,0,5.054,5.057,
5/16/2022 8:46:15 AM,4.351,29.689,49.639,78.864,71488.4,1032.881,32.863,0.328,0.328,0.146,8.162,87.206,5.042,322.084,0,5.054,5.057,
5/16/2022 8:46:16 AM,4.445,29.688,49.647,78.873,71498.8,1032.888,32.869,0.343,0.343,0.160,8.162,87.367,5.051,337.802,0,5.063,5.066,
5/16/2022 8:46:16 AM,4.526,29.688,49.649,78.875,71500.8,1032.890,32.871,0.351,0.351,0.160,8.163,87.277,5.046,335.423,0,5.057,5.060,
5/16/2022 8:46:16 AM,4.600,29.688,49.651,78.879,71503.7,1032.892,32.872,0.335,0.335,0.131,8.163,87.242,5.043,319.960,0,5.055,5.058,
5/16/2022 8:46:16 AM,4.674,29.688,49.651,78.878,71503.9,1032.892,32.872,0.343,0.343,0.116,8.162,87.053,5.031,341.965,0,5.043,5.046,
5/16/2022 8:46:16 AM,4.852,29.687,49.668,78.899,71524.7,1032.906,32.885,0.367,0.367,0.160,8.162,87.016,5.029,355.643,0,5.041,5.044,
5/16/2022 8:46:17 AM,4.973,29.687,49.669,78.901,71526.2,1032.907,32.886,0.343,0.343,0.146,8.162,87.067,5.032,343.834,0,5.044,5.047,
5/16/2022 8:46:17 AM,5.099,29.684,49.682,78.916,71543.3,1032.919,32.897,0.367,0.367,0.189,8.162,87.098,5.033,319.790,0,5.045,5.048,
5/16/2022 8:46:17 AM,5.191,29.677,49.691,78.919,71555.7,1032.929,32.907,0.367,0.367,0.160,8.163,87.072,5.031,303.308,0,5.043,5.046,
5/16/2022 8:46:17 AM,5.274,29.671,49.699,78.921,71565.8,1032.937,32.914,0.390,0.390,0.204,8.162,87.018,5.028,300.844,0,5.040,5.043,
5/16/2022 8:46:18 AM,5.292,29.668,49.702,78.921,71570.2,1032.940,32.918,0.413,0.413,0.218,8.162,86.869,5.019,305.007,0,5.031,5.034,
5/16/2022 8:46:18 AM,5.307,29.664,49.708,78.922,71577.8,1032.946,32.924,0.390,0.390,0.262,8.163,86.886,5.021,352.925,0,5.033,5.036,
5/16/2022 8:46:18 AM,5.347,29.662,49.715,78.929,71587.1,1032.953,32.930,0.367,0.367,0.146,8.162,86.951,5.025,303.818,0,5.036,5.039,
5/16/2022 8:46:18 AM,5.399,29.662,49.713,78.928,71585.3,1032.952,32.929,0.359,0.359,0.175,8.163,86.978,5.027,322.339,0,5.039,5.042,
5/16/2022 8:46:18 AM,5.436,29.660,49.715,78.927,71588.0,1032.954,32.931,0.367,0.367,0.189,8.163,86.943,5.024,300.079,0,5.036,5.039,
5/16/2022 8:46:19 AM,5.479,29.658,49.721,78.932,71594.9,1032.959,32.936,0.382,0.382,0.175,8.163,86.811,5.017,320.555,0,5.029,5.032,
5/16/2022 8:46:19 AM,5.528,29.657,49.727,78.939,71603.4,1032.965,32.941,0.390,0.390,0.175,8.163,86.710,5.011,320.300,0,5.023,5.026,
