// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.07
// File Date:2022/05/17 06:15:17
// (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ176-CAD
SondeNo=0203
SensorType=D0D1T1C1C2K0U3O0TOP0TPQ0
SensorType2=030303030303030303030303
Channel=12
Comment=

PreHeat=1000
Interval=200
SampleCnt=1250

StartTime=2022/05/17 06:15:17
EndTime=2022/05/17 06:19:28

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=-0.119
StartDepthA=-0.0124288374576387
StartDepthB=-0.0109336576990508

FilmNo=132002A
UseMicroMol=0

CoefDate=2013/12/04 15:09:19

Ch1=-5.57504600e-02,1.761468000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.42696500e00,1.069766000e-03,-1.25829700e-08,2.908103000e-13,-3.55209300e-18,2.587823000e-23,0.000000000e00,0.000000000e00,
Ch4=8.422311000e-03,3.828018000e01,-4.82623500e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.17189500e00,7.800747000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.52763100e00,1.444397000e-02,8.803937000e-08,-2.05935200e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.20210900e01,2.284779000e06,-6.28081300e03,1.020000000e-02,4.400000000e-03,0.000000000e00,-1.27905260e00,1.001023900e00,
Ch9=-5.65509000e00,1.025266000e-03,-8.37467000e-09,1.094405000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch10=6.513151200e00,4.097787250e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.06316300e00,1.735190000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=-8.02874000e01,8.496021000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,DO [%],Weiss-DO [mg/l],Quant. [µmol/(m2*s)],Mark,G&G-DO [mg/l],B&K-DO [mg/l],
5/17/2022 6:15:17 AM,0.000,29.183,49.376,77.774,71219.4,1032.843,32.843,0.195,0.195,0.175,7.572,96.298,5.609,124.127,0,5.622,5.625,
5/17/2022 6:15:17 AM,0.000,29.182,49.379,77.776,71222.6,1032.845,32.845,0.203,0.203,0.160,7.573,96.284,5.608,114.187,0,5.622,5.625,
5/17/2022 6:15:17 AM,0.000,29.183,49.377,77.773,71219.9,1032.843,32.843,0.164,0.164,0.102,7.573,96.247,5.606,103.397,0,5.619,5.623,
5/17/2022 6:15:18 AM,0.000,29.182,49.380,77.777,71224.7,1032.846,32.846,0.164,0.164,0.116,7.573,96.422,5.616,97.449,0,5.629,5.632,
5/17/2022 6:15:18 AM,0.000,29.182,49.380,77.777,71224.6,1032.846,32.846,0.156,0.156,0.058,7.574,96.217,5.603,88.104,0,5.617,5.620,
5/17/2022 6:15:18 AM,0.000,29.182,49.378,77.773,71221.4,1032.844,32.845,0.156,0.156,0.102,7.576,96.130,5.598,97.874,0,5.612,5.615,
5/17/2022 6:15:18 AM,0.000,29.181,49.377,77.772,71220.4,1032.844,32.844,0.117,0.117,0.058,7.578,96.270,5.607,98.554,0,5.620,5.623,
5/17/2022 6:15:18 AM,0.000,29.181,49.378,77.773,71221.8,1032.845,32.845,0.156,0.156,0.131,7.579,96.330,5.610,107.730,0,5.623,5.627,
5/17/2022 6:15:19 AM,0.012,29.182,49.382,77.780,71227.2,1032.848,32.848,0.156,0.156,0.146,7.581,96.198,5.602,121.238,0,5.615,5.619,
5/17/2022 6:15:19 AM,0.078,29.185,49.380,77.781,71224.2,1032.846,32.845,0.156,0.156,0.116,7.582,96.298,5.608,133.303,0,5.622,5.625,
5/17/2022 6:15:19 AM,0.082,29.186,49.378,77.780,71221.2,1032.844,32.843,0.140,0.140,0.160,7.584,96.340,5.611,116.395,0,5.624,5.627,
5/17/2022 6:15:19 AM,0.050,29.185,49.384,77.786,71228.4,1032.848,32.848,0.133,0.133,0.102,7.584,96.274,5.606,108.494,0,5.620,5.623,
5/17/2022 6:15:19 AM,0.019,29.184,49.384,77.785,71228.7,1032.848,32.848,0.172,0.172,0.116,7.584,96.233,5.604,125.911,0,5.617,5.621,
5/17/2022 6:15:20 AM,0.035,29.184,49.383,77.785,71228.0,1032.848,32.848,0.164,0.164,0.146,7.584,96.141,5.598,135.681,0,5.612,5.615,
5/17/2022 6:15:20 AM,0.120,29.186,49.386,77.791,71231.2,1032.850,32.849,0.117,0.117,0.073,7.584,96.231,5.604,162.444,0,5.617,5.620,
5/17/2022 6:15:20 AM,0.162,29.187,49.380,77.785,71223.8,1032.845,32.844,0.125,0.125,0.116,7.584,96.253,5.605,103.227,0,5.618,5.622,
5/17/2022 6:15:20 AM,0.175,29.187,49.384,77.790,71228.7,1032.848,32.847,0.133,0.133,0.087,7.585,96.279,5.606,85.385,0,5.620,5.623,
