// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.07
// File Date:2022/05/17 06:27:29
// (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ176-CAD
SondeNo=0203
SensorType=D0D1T1C1C2K0U3O0TOP0TPQ0
SensorType2=030303030303030303030303
Channel=12
Comment=

PreHeat=1000
Interval=200
SampleCnt=771

StartTime=2022/05/17 06:27:29
EndTime=2022/05/17 06:30:04

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=-0.119
StartDepthA=-0.0246955493811664
StartDepthB=-0.0199213259902447

FilmNo=132002A
UseMicroMol=0

CoefDate=2013/12/04 15:09:19

Ch1=-5.57504600e-02,1.761468000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.42696500e00,1.069766000e-03,-1.25829700e-08,2.908103000e-13,-3.55209300e-18,2.587823000e-23,0.000000000e00,0.000000000e00,
Ch4=8.422311000e-03,3.828018000e01,-4.82623500e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.17189500e00,7.800747000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.52763100e00,1.444397000e-02,8.803937000e-08,-2.05935200e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.20210900e01,2.284779000e06,-6.28081300e03,1.020000000e-02,4.400000000e-03,0.000000000e00,-1.27905260e00,1.001023900e00,
Ch9=-5.65509000e00,1.025266000e-03,-8.37467000e-09,1.094405000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch10=6.513151200e00,4.097787250e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.06316300e00,1.735190000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=-8.02874000e01,8.496021000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,DO [%],Weiss-DO [mg/l],Quant. [µmol/(m2*s)],Mark,G&G-DO [mg/l],B&K-DO [mg/l],
5/17/2022 6:27:29 AM,0.000,29.176,49.090,77.372,70861.3,1032.628,32.628,0.390,0.390,0.233,8.379,96.196,5.618,102.037,0,5.632,5.635,
5/17/2022 6:27:29 AM,0.000,29.176,50.595,79.426,72743.4,1033.769,33.769,0.320,0.320,0.218,8.379,96.185,5.570,106.370,0,5.583,5.587,
5/17/2022 6:27:29 AM,0.000,29.178,48.961,77.198,70699.6,1032.530,32.530,0.211,0.211,0.102,8.381,96.319,5.628,111.723,0,5.642,5.645,
5/17/2022 6:27:30 AM,0.000,29.179,49.082,77.365,70851.2,1032.621,32.621,0.203,0.203,0.131,8.382,96.268,5.621,114.781,0,5.635,5.638,
5/17/2022 6:27:30 AM,0.000,29.178,2.048,4.217,3861.7,997.428,0.000,0.226,0.226,0.116,8.383,96.307,7.293,111.468,0,7.314,7.314,
5/17/2022 6:27:30 AM,0.000,28.972,1.128,2.388,2196.1,996.801,0.000,20.883,20.883,0.000,8.384,96.115,7.315,106.200,0,7.336,7.336,
5/17/2022 6:27:30 AM,0.000,28.868,45.884,72.538,66848.3,1030.309,30.309,24.697,24.697,0.000,8.384,95.997,5.705,108.154,0,5.719,5.722,
5/17/2022 6:27:30 AM,0.007,29.099,49.174,77.377,70976.0,1032.719,32.719,6.537,6.537,0.000,8.385,96.214,5.615,111.553,0,5.628,5.631,
5/17/2022 6:27:31 AM,0.011,29.166,49.108,77.381,70884.7,1032.645,32.645,1.833,1.833,0.000,8.385,96.323,5.623,113.677,0,5.636,5.639,
5/17/2022 6:27:31 AM,0.049,29.184,49.096,77.390,70867.4,1032.630,32.630,0.608,0.608,0.000,8.386,96.333,5.623,75.275,0,5.637,5.640,
5/17/2022 6:27:31 AM,0.092,29.187,49.090,77.387,70859.9,1032.625,32.625,0.281,0.281,0.000,8.387,96.226,5.617,65.249,0,5.630,5.634,
5/17/2022 6:27:31 AM,0.082,29.184,49.098,77.394,70870.4,1032.632,32.632,0.140,0.140,0.000,8.389,96.325,5.622,68.308,0,5.635,5.638,
5/17/2022 6:27:31 AM,0.061,29.183,49.100,77.396,70873.6,1032.634,32.634,0.133,0.133,0.044,8.389,96.291,5.619,70.857,0,5.633,5.636,
5/17/2022 6:27:32 AM,0.059,29.184,49.106,77.405,70880.2,1032.638,32.638,0.125,0.125,0.073,8.390,96.379,5.624,86.150,0,5.638,5.641,
5/17/2022 6:27:32 AM,0.090,29.186,49.098,77.396,70869.7,1032.631,32.631,0.109,0.109,0.087,8.391,96.434,5.627,86.065,0,5.641,5.644,
5/17/2022 6:27:32 AM,0.148,29.186,49.095,77.394,70867.1,1032.630,32.629,0.094,0.094,0.058,8.392,96.323,5.621,79.183,0,5.634,5.638,
5/17/2022 6:27:32 AM,0.194,29.188,49.098,77.400,70870.2,1032.631,32.631,0.094,0.094,0.029,8.393,96.426,5.626,56.499,0,5.640,5.643,
5/17/2022 6:27:32 AM,0.224,29.188,49.099,77.401,70871.9,1032.633,32.632,0.101,0.101,0.087,8.393,96.430,5.627,65.419,0,5.640,5.643,
5/17/2022 6:27:33 AM,0.264,29.189,49.099,77.403,70870.7,1032.632,32.630,0.109,0.109,0.058,8.394,96.383,5.624,90.143,0,5.637,5.640,
5/17/2022 6:27:33 AM,0.327,29.190,49.103,77.409,70875.6,1032.634,32.633,0.140,0.140,0.102,8.394,96.451,5.628,78.078,0,5.641,5.644,
5/17/2022 6:27:33 AM,0.372,29.192,49.101,77.409,70873.2,1032.633,32.631,0.117,0.117,0.044,8.395,96.424,5.627,63.295,0,5.640,5.643,
5/17/2022 6:27:33 AM,0.380,29.190,49.099,77.405,70871.1,1032.632,32.630,0.101,0.101,0.044,8.395,96.313,5.620,99.658,0,5.633,5.636,
5/17/2022 6:27:33 AM,0.368,29.189,49.105,77.411,70878.2,1032.636,32.635,0.109,0.109,0.058,8.395,96.351,5.622,61.256,0,5.635,5.639,
5/17/2022 6:27:34 AM,0.365,29.189,49.105,77.411,70878.4,1032.637,32.635,0.109,0.109,0.087,8.396,96.429,5.626,48.682,0,5.640,5.643,
5/17/2022 6:27:34 AM,0.365,29.190,49.102,77.409,70875.4,1032.634,32.633,0.101,0.101,0.073,8.396,96.331,5.621,62.446,0,5.634,5.637,
5/17/2022 6:27:34 AM,0.377,29.189,49.103,77.408,70875.9,1032.635,32.634,0.094,0.094,0.058,8.396,96.378,5.624,84.790,0,5.637,5.640,
5/17/2022 6:27:34 AM,0.417,29.189,49.103,77.409,70876.5,1032.636,32.634,0.094,0.094,0.058,8.396,96.462,5.628,60.662,0,5.642,5.645,
5/17/2022 6:27:34 AM,0.490,29.193,49.110,77.423,70884.5,1032.640,32.638,0.101,0.101,0.058,8.397,96.507,5.631,79.013,0,5.644,5.647,
5/17/2022 6:27:35 AM,0.528,29.190,49.110,77.419,70884.4,1032.640,32.638,0.094,0.094,0.073,8.398,96.496,5.630,88.529,0,5.643,5.647,
5/17/2022 6:27:35 AM,0.575,29.184,49.109,77.411,70885.1,1032.643,32.640,0.094,0.094,0.058,8.398,96.477,5.629,106.965,0,5.643,5.646,
5/17/2022 6:27:35 AM,0.641,29.179,49.110,77.404,70887.0,1032.646,32.643,0.094,0.094,0.073,8.398,96.329,5.621,93.966,0,5.634,5.637,
5/17/2022 6:27:35 AM,0.727,29.178,49.111,77.403,70887.3,1032.646,32.643,0.078,0.078,0.058,8.398,96.417,5.626,71.112,0,5.639,5.643,
5/17/2022 6:27:35 AM,0.880,29.180,49.117,77.415,70895.3,1032.651,32.648,0.086,0.086,0.087,8.399,96.397,5.624,62.531,0,5.638,5.641,
5/17/2022 6:27:36 AM,0.958,29.182,49.115,77.415,70892.3,1032.649,32.645,0.117,0.117,0.073,8.399,96.340,5.621,66.779,0,5.635,5.638,
5/17/2022 6:27:36 AM,1.012,29.184,49.120,77.424,70898.0,1032.652,32.648,0.109,0.109,0.087,8.400,96.417,5.625,66.439,0,5.639,5.642,
5/17/2022 6:27:36 AM,1.054,29.185,49.120,77.426,70898.8,1032.653,32.648,0.101,0.101,0.087,8.400,96.373,5.623,72.641,0,5.636,5.639,
5/17/2022 6:27:36 AM,1.076,29.185,49.119,77.426,70897.5,1032.652,32.647,0.078,0.078,0.029,8.401,96.289,5.618,73.576,0,5.631,5.635,
5/17/2022 6:27:36 AM,1.074,29.186,49.119,77.426,70896.7,1032.651,32.647,0.094,0.094,0.044,8.401,96.551,5.633,80.967,0,5.646,5.650,
5/17/2022 6:27:37 AM,1.048,29.185,49.119,77.424,70896.6,1032.651,32.647,0.094,0.094,0.058,8.401,96.464,5.628,77.484,0,5.641,5.645,
5/17/2022 6:27:37 AM,1.027,29.185,49.118,77.423,70895.8,1032.651,32.646,0.094,0.094,0.087,8.402,96.405,5.625,74.085,0,5.638,5.641,
