// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.07
// File Date:2022/05/17 07:25:02
// (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ176-CAD
SondeNo=0203
SensorType=D0D1T1C1C2K0U3O0TOP0TPQ0
SensorType2=030303030303030303030303
Channel=12
Comment=

PreHeat=1000
Interval=200
SampleCnt=573

StartTime=2022/05/17 07:25:02
EndTime=2022/05/17 07:26:57

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=-0.126
StartDepthA=0.0944572453482306
StartDepthB=0.0985077300529269

FilmNo=132002A
UseMicroMol=0

CoefDate=2013/12/04 15:09:19

Ch1=-5.57504600e-02,1.761468000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.42696500e00,1.069766000e-03,-1.25829700e-08,2.908103000e-13,-3.55209300e-18,2.587823000e-23,0.000000000e00,0.000000000e00,
Ch4=8.422311000e-03,3.828018000e01,-4.82623500e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.17189500e00,7.800747000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.52763100e00,1.444397000e-02,8.803937000e-08,-2.05935200e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.20210900e01,2.284779000e06,-6.28081300e03,1.020000000e-02,4.400000000e-03,0.000000000e00,-1.27905260e00,1.001023900e00,
Ch9=-5.65509000e00,1.025266000e-03,-8.37467000e-09,1.094405000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch10=6.513151200e00,4.097787250e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.06316300e00,1.735190000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=-8.02874000e01,8.496021000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,DO [%],Weiss-DO [mg/l],Quant. [µmol/(m2*s)],Mark,G&G-DO [mg/l],B&K-DO [mg/l],
5/17/2022 7:25:02 AM,0.093,30.787,48.367,78.653,69770.5,1031.508,31.507,1.155,1.155,1.326,8.216,69.074,3.989,581.128,0,3.998,4.000,
5/17/2022 7:25:03 AM,0.115,30.789,48.374,78.665,69778.2,1031.512,31.511,0.936,0.936,0.772,8.219,68.867,3.977,549.098,0,3.986,3.988,
5/17/2022 7:25:03 AM,0.149,30.796,48.342,78.630,69737.2,1031.485,31.484,0.741,0.741,0.379,8.224,68.537,3.958,542.131,0,3.967,3.969,
5/17/2022 7:25:03 AM,0.150,30.788,48.404,78.706,69815.9,1031.535,31.534,1.061,1.061,1.136,8.227,68.329,3.944,596.421,0,3.953,3.955,
5/17/2022 7:25:03 AM,0.102,30.775,48.467,78.776,69896.4,1031.587,31.587,1.194,1.194,1.486,8.229,68.169,3.933,685.629,0,3.942,3.944,
5/17/2022 7:25:03 AM,0.041,30.774,48.461,78.768,69889.8,1031.583,31.583,1.155,1.155,1.355,8.231,67.969,3.920,808.906,0,3.929,3.931,
5/17/2022 7:25:04 AM,0.013,30.774,48.442,78.741,69865.4,1031.568,31.568,1.131,1.131,1.340,8.233,67.861,3.914,677.813,0,3.923,3.925,
5/17/2022 7:25:04 AM,0.055,30.780,48.457,78.770,69884.0,1031.578,31.578,1.178,1.178,1.428,8.236,67.719,3.905,626.412,0,3.914,3.916,
5/17/2022 7:25:04 AM,0.154,30.785,48.454,78.773,69879.9,1031.574,31.574,0.866,0.866,0.670,8.238,67.651,3.900,450.714,0,3.909,3.911,
5/17/2022 7:25:04 AM,0.182,30.788,48.445,78.764,69868.3,1031.567,31.566,0.827,0.827,0.553,8.240,67.572,3.896,395.660,0,3.905,3.907,
5/17/2022 7:25:04 AM,0.185,30.788,48.434,78.749,69853.8,1031.558,31.557,1.100,1.100,1.253,8.243,67.468,3.891,381.386,0,3.899,3.902,
5/17/2022 7:25:05 AM,0.185,30.781,48.459,78.773,69885.6,1031.579,31.578,1.061,1.061,1.151,8.244,67.389,3.885,467.281,0,3.894,3.896,
5/17/2022 7:25:05 AM,0.194,30.778,48.449,78.755,69873.6,1031.573,31.572,1.069,1.069,0.990,8.245,67.436,3.887,470.170,0,3.896,3.899,
5/17/2022 7:25:05 AM,0.218,30.778,48.425,78.722,69843.6,1031.555,31.554,1.084,1.084,1.180,8.248,67.545,3.895,570.083,0,3.904,3.906,
5/17/2022 7:25:05 AM,0.244,30.772,48.426,78.716,69846.3,1031.558,31.557,1.233,1.233,1.617,8.249,67.585,3.897,422.422,0,3.906,3.908,
5/17/2022 7:25:05 AM,0.304,30.772,48.465,78.771,69894.9,1031.588,31.586,0.998,0.998,0.976,8.250,67.447,3.888,251.397,0,3.897,3.899,
5/17/2022 7:25:06 AM,0.385,30.784,48.472,78.797,69901.9,1031.589,31.587,0.741,0.741,0.451,8.251,67.512,3.892,188.102,0,3.901,3.903,
5/17/2022 7:25:06 AM,0.458,30.787,48.466,78.793,69893.7,1031.583,31.581,1.194,1.194,1.428,8.253,67.549,3.894,263.971,0,3.903,3.905,
5/17/2022 7:25:06 AM,0.521,30.791,48.468,78.801,69896.5,1031.584,31.582,1.084,1.084,1.020,8.254,67.570,3.895,270.513,0,3.904,3.906,
5/17/2022 7:25:06 AM,0.584,30.794,48.460,78.795,69886.7,1031.577,31.575,1.240,1.240,1.544,8.257,67.612,3.897,247.574,0,3.906,3.908,
5/17/2022 7:25:06 AM,0.587,30.791,48.457,78.787,69883.1,1031.576,31.574,1.318,1.318,1.763,8.258,67.603,3.896,292.858,0,3.905,3.907,
5/17/2022 7:25:07 AM,0.565,30.785,48.469,78.795,69898.1,1031.587,31.584,1.186,1.186,1.224,8.259,67.536,3.891,282.323,0,3.900,3.902,
5/17/2022 7:25:07 AM,0.542,30.783,48.466,78.788,69895.4,1031.586,31.583,0.967,0.967,0.830,8.260,67.470,3.887,369.237,0,3.896,3.898,
5/17/2022 7:25:07 AM,0.544,30.783,48.462,78.782,69890.3,1031.583,31.581,1.006,1.006,0.961,8.261,67.373,3.881,250.378,0,3.890,3.892,
