// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.07
// File Date:2022/05/23 16:48:00
// (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ176-CAD
SondeNo=0203
SensorType=D0D1T1C1C2K0U3O0TOP0TPQ0
SensorType2=030303030303030303030303
Channel=12
Comment=

PreHeat=1000
Interval=200
SampleCnt=501

StartTime=2022/05/23 16:48:00
EndTime=2022/05/23 16:49:42

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.123
StartDepthA=-0.200104827510587
StartDepthB=-0.205578255415989

FilmNo=132002A
UseMicroMol=0

CoefDate=2013/12/04 15:09:19

Ch1=-5.57504600e-02,1.761468000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.42696500e00,1.069766000e-03,-1.25829700e-08,2.908103000e-13,-3.55209300e-18,2.587823000e-23,0.000000000e00,0.000000000e00,
Ch4=8.422311000e-03,3.828018000e01,-4.82623500e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.17189500e00,7.800747000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.52763100e00,1.444397000e-02,8.803937000e-08,-2.05935200e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.20210900e01,2.284779000e06,-6.28081300e03,1.020000000e-02,4.400000000e-03,0.000000000e00,-1.27905260e00,1.001023900e00,
Ch9=-5.65509000e00,1.025266000e-03,-8.37467000e-09,1.094405000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch10=6.513151200e00,4.097787250e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.06316300e00,1.735190000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=-8.02874000e01,8.496021000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,DO [%],Weiss-DO [mg/l],Quant. [µmol/(m2*s)],Mark,G&G-DO [mg/l],B&K-DO [mg/l],
5/23/2022 4:48:00 PM,0.000,30.177,52.176,83.075,74580.6,1034.609,34.610,0.031,0.031,0.000,8.659,96.463,5.454,1168.288,0,5.466,5.470,
5/23/2022 4:48:00 PM,0.000,30.179,52.179,83.081,74583.5,1034.610,34.611,0.000,0.000,0.000,8.661,96.608,5.463,1204.481,0,5.474,5.478,
5/23/2022 4:48:00 PM,0.000,30.179,52.177,83.079,74581.1,1034.609,34.609,0.070,0.070,0.029,8.662,96.433,5.452,1271.175,0,5.464,5.468,
5/23/2022 4:48:01 PM,0.000,30.180,52.173,83.075,74576.8,1034.606,34.607,0.101,0.101,0.146,8.664,96.394,5.450,1278.651,0,5.462,5.465,
5/23/2022 4:48:01 PM,0.000,30.176,52.175,83.072,74579.0,1034.609,34.609,0.039,0.039,0.000,8.667,96.534,5.457,737.455,0,5.469,5.473,
5/23/2022 4:48:01 PM,0.000,30.175,52.182,83.080,74588.5,1034.615,34.615,0.109,0.109,0.044,8.668,96.435,5.451,845.864,0,5.463,5.467,
5/23/2022 4:48:01 PM,0.000,30.176,52.177,83.075,74582.0,1034.611,34.611,0.070,0.070,0.131,8.670,96.499,5.455,682.485,0,5.466,5.470,
5/23/2022 4:48:01 PM,0.009,30.176,52.176,83.073,74580.7,1034.610,34.610,0.000,0.000,0.000,8.670,96.530,5.456,648.501,0,5.468,5.472,
5/23/2022 4:48:02 PM,0.120,30.177,52.183,83.084,74589.2,1034.616,34.615,0.070,0.070,0.029,8.670,96.572,5.458,572.462,0,5.470,5.474,
5/23/2022 4:48:02 PM,0.182,30.176,52.186,83.087,74592.9,1034.618,34.617,0.039,0.039,0.044,8.669,96.599,5.460,822.160,0,5.472,5.476,
5/23/2022 4:48:02 PM,0.260,30.178,52.185,83.089,74591.9,1034.617,34.616,0.000,0.000,0.000,8.670,96.598,5.461,661.585,0,5.472,5.476,
5/23/2022 4:48:02 PM,0.332,30.181,52.189,83.099,74596.1,1034.619,34.618,0.047,0.047,0.044,8.672,96.579,5.459,556.150,0,5.471,5.474,
5/23/2022 4:48:02 PM,0.408,30.174,52.204,83.108,74615.5,1034.634,34.632,0.164,0.164,0.248,8.674,96.559,5.457,391.752,0,5.468,5.472,
5/23/2022 4:48:03 PM,0.411,30.175,52.215,83.125,74629.1,1034.642,34.640,0.094,0.094,0.029,8.673,96.459,5.450,394.895,0,5.462,5.466,
5/23/2022 4:48:03 PM,0.413,30.176,52.219,83.132,74633.7,1034.644,34.642,0.140,0.140,0.189,8.673,96.665,5.462,373.995,0,5.474,5.478,
5/23/2022 4:48:03 PM,0.415,30.179,52.222,83.142,74637.9,1034.646,34.644,0.086,0.086,0.087,8.673,96.600,5.458,760.054,0,5.470,5.474,
5/23/2022 4:48:03 PM,0.380,30.179,52.226,83.147,74642.2,1034.648,34.647,0.000,0.000,0.000,8.673,96.472,5.451,535.929,0,5.463,5.467,
