// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.07
// File Date:2022/05/27 05:26:07
// (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ176-CAD
SondeNo=0203
SensorType=D0D1T1C1C2K0U3O0TOP0TPQ0
SensorType2=030303030303030303030303
Channel=12
Comment=

PreHeat=1000
Interval=200
SampleCnt=616

StartTime=2022/05/27 05:26:07
EndTime=2022/05/27 05:28:13

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.04
StartDepthA=0.781869917742236
StartDepthB=0.80833445339881

FilmNo=132002A
UseMicroMol=0

CoefDate=2013/12/04 15:09:19

Ch1=-5.57504600e-02,1.761468000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.42696500e00,1.069766000e-03,-1.25829700e-08,2.908103000e-13,-3.55209300e-18,2.587823000e-23,0.000000000e00,0.000000000e00,
Ch4=8.422311000e-03,3.828018000e01,-4.82623500e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.17189500e00,7.800747000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.52763100e00,1.444397000e-02,8.803937000e-08,-2.05935200e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.20210900e01,2.284779000e06,-6.28081300e03,1.020000000e-02,4.400000000e-03,0.000000000e00,-1.27905260e00,1.001023900e00,
Ch9=-5.65509000e00,1.025266000e-03,-8.37467000e-09,1.094405000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch10=6.513151200e00,4.097787250e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.06316300e00,1.735190000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=-8.02874000e01,8.496021000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,DO [%],Weiss-DO [mg/l],Quant. [µmol/(m2*s)],Mark,G&G-DO [mg/l],B&K-DO [mg/l],
5/27/2022 5:26:07 AM,0.775,29.968,51.068,81.238,73233.8,1033.849,33.845,0.101,0.101,0.087,5.285,94.895,5.420,0.000,0,5.432,5.436,
5/27/2022 5:26:07 AM,0.754,29.968,51.063,81.230,73227.4,1033.845,33.842,0.109,0.109,0.116,5.288,94.923,5.422,0.000,0,5.434,5.438,
5/27/2022 5:26:07 AM,0.629,29.965,51.066,81.230,73231.1,1033.847,33.845,0.374,0.374,0.131,5.291,94.946,5.423,0.000,0,5.435,5.439,
5/27/2022 5:26:07 AM,0.523,29.963,51.064,81.225,73228.7,1033.846,33.844,0.195,0.195,0.073,5.289,94.960,5.424,0.000,0,5.436,5.440,
5/27/2022 5:26:08 AM,0.421,29.963,51.061,81.221,73225.5,1033.844,33.842,0.109,0.109,0.058,5.289,95.072,5.431,0.000,0,5.443,5.447,
5/27/2022 5:26:08 AM,0.313,29.963,51.061,81.221,73225.5,1033.843,33.842,0.086,0.086,0.102,5.290,95.265,5.442,0.000,0,5.454,5.458,
5/27/2022 5:26:08 AM,0.242,29.964,51.068,81.232,73234.3,1033.848,33.847,0.140,0.140,0.073,5.290,95.005,5.427,0.000,0,5.439,5.442,
5/27/2022 5:26:08 AM,0.257,29.965,51.068,81.234,73233.9,1033.848,33.846,0.117,0.117,0.087,5.292,95.136,5.434,0.000,0,5.446,5.450,
5/27/2022 5:26:08 AM,0.275,29.975,51.066,81.245,73229.7,1033.842,33.841,0.109,0.109,0.044,5.294,95.267,5.442,0.000,0,5.454,5.458,
5/27/2022 5:26:09 AM,0.327,29.973,51.075,81.255,73241.3,1033.850,33.849,0.109,0.109,0.073,5.294,95.304,5.444,0.000,0,5.456,5.459,
5/27/2022 5:26:09 AM,0.369,29.980,51.059,81.242,73220.4,1033.836,33.834,0.109,0.109,0.131,5.296,95.270,5.442,0.000,0,5.454,5.458,
5/27/2022 5:26:09 AM,0.358,29.983,51.056,81.242,73216.4,1033.832,33.831,0.101,0.101,0.102,5.293,95.538,5.457,0.000,0,5.470,5.473,
5/27/2022 5:26:09 AM,0.365,29.985,51.052,81.240,73210.9,1033.828,33.827,0.086,0.086,0.073,5.292,95.394,5.450,0.000,0,5.462,5.465,
5/27/2022 5:26:09 AM,0.348,29.990,51.052,81.248,73211.1,1033.827,33.826,0.078,0.078,0.044,5.294,95.535,5.457,0.000,0,5.470,5.473,
5/27/2022 5:26:10 AM,0.370,29.985,51.058,81.248,73218.4,1033.833,33.832,0.094,0.094,0.073,5.291,95.694,5.466,0.000,0,5.479,5.482,
5/27/2022 5:26:10 AM,0.422,29.988,51.057,81.253,73217.5,1033.832,33.830,0.109,0.109,0.131,5.287,95.582,5.460,0.000,0,5.472,5.476,
5/27/2022 5:26:10 AM,0.449,29.992,51.054,81.254,73213.5,1033.828,33.826,0.109,0.109,0.189,5.282,95.655,5.464,0.000,0,5.476,5.480,
