"Date","Depth..m.","Temp...degC.","Sal.","Cond...mS.cm.","EC25..µS.cm.","Density..kg.m3.","SigmaT","Chl.Flu...ppb.","Chl.a..µg.l.","Turb...FTU.","pH","DO....","Weiss.DO..mg.l.","Quant...µmol..m2.s..","Mark","G.G.DO..mg.l.","B.K.DO..mg.l.","Station"
"5/25/2022 11:46:14 AM",1.585,29.441,48.518,76.961,70111.4,1032.109,32.102,0.039,0.039,0.131,7.57,95.753,5.54,733.122,0,5.553,5.556,21
"5/25/2022 11:46:15 AM",1.611,29.44,48.524,76.969,70119.5,1032.114,32.107,0.086,0.086,0.175,7.572,95.765,5.539,688.178,0,5.552,5.555,21
"5/25/2022 11:46:15 AM",1.645,29.438,48.525,76.967,70121.1,1032.116,32.109,0.047,0.047,0.102,7.573,95.728,5.538,642.384,0,5.551,5.554,21
"5/25/2022 11:46:15 AM",1.705,29.432,48.539,76.978,70139.9,1032.129,32.122,0.031,0.031,0.073,7.575,95.687,5.535,592.258,0,5.548,5.551,21
"5/25/2022 11:46:15 AM",1.726,29.433,48.537,76.977,70137.1,1032.127,32.12,0.039,0.039,0.029,7.579,95.835,5.544,616.216,0,5.557,5.56,21
"5/25/2022 11:46:15 AM",1.679,29.435,48.53,76.971,70128,1032.121,32.113,0.008,0.008,0,7.581,95.796,5.542,662.86,0,5.555,5.558,21
"5/25/2022 11:46:16 AM",1.611,29.435,48.535,76.977,70133.4,1032.123,32.117,0.016,0.016,0.058,7.58,95.765,5.541,633.039,0,5.554,5.557,21
"5/25/2022 11:46:16 AM",1.497,29.435,48.546,76.992,70147.1,1032.131,32.125,0,0,0,7.581,95.688,5.535,712.731,0,5.548,5.551,21
"5/25/2022 11:46:16 AM",1.427,29.437,48.546,76.995,70147.6,1032.131,32.125,0.062,0.062,0.16,7.582,95.87,5.546,768.975,0,5.559,5.562,21
"5/25/2022 11:46:16 AM",1.364,29.438,48.551,77.003,70154.1,1032.134,32.129,0.078,0.078,0.131,7.582,95.72,5.537,653.344,0,5.55,5.553,21
"5/25/2022 11:46:16 AM",1.316,29.437,48.556,77.008,70159.7,1032.138,32.132,0.023,0.023,0.015,7.587,95.799,5.542,602.963,0,5.554,5.557,21
"5/25/2022 11:46:17 AM",1.295,29.436,48.56,77.013,70165.7,1032.142,32.136,0.023,0.023,0.015,7.59,95.795,5.541,633.378,0,5.554,5.557,21
"5/25/2022 11:46:17 AM",1.283,29.436,48.565,77.019,70171,1032.145,32.139,0.031,0.031,0,7.595,95.824,5.542,652.579,0,5.555,5.558,21
"5/25/2022 11:46:17 AM",1.274,29.436,48.567,77.023,70174.3,1032.147,32.141,0.031,0.031,0.058,7.598,95.772,5.54,620.379,0,5.552,5.555,21
"5/25/2022 11:46:17 AM",1.274,29.437,48.572,77.03,70179.7,1032.15,32.144,0.047,0.047,0.073,7.598,95.704,5.536,557.594,0,5.548,5.551,21
"5/25/2022 11:46:17 AM",1.312,29.438,48.577,77.039,70185.9,1032.153,32.148,0.039,0.039,0.058,7.613,95.702,5.535,562.352,0,5.548,5.551,21
"5/25/2022 11:46:18 AM",1.359,29.439,48.58,77.044,70189.9,1032.156,32.15,0.008,0.008,0.058,7.616,95.689,5.534,581.553,0,5.547,5.55,21
"5/25/2022 11:46:18 AM",1.422,29.438,48.586,77.052,70198.1,1032.161,32.155,0.031,0.031,0.044,7.616,95.785,5.54,578.579,0,5.553,5.556,21
"5/25/2022 11:46:18 AM",1.526,29.438,48.59,77.057,70203,1032.164,32.158,0.047,0.047,0.015,7.611,95.776,5.54,547.229,0,5.553,5.556,21
"5/25/2022 11:46:18 AM",1.589,29.437,48.591,77.057,70204.3,1032.166,32.159,0.055,0.055,0.087,7.611,95.8,5.541,501.18,0,5.554,5.557,21
"5/25/2022 11:46:19 AM",1.625,29.438,48.589,77.056,70200.7,1032.163,32.156,0.008,0.008,0,7.607,95.78,5.541,505.853,0,5.554,5.557,21
"5/25/2022 11:46:19 AM",1.643,29.44,48.586,77.054,70197,1032.161,32.154,0.023,0.023,0.044,7.6,95.748,5.54,608.145,0,5.553,5.556,21
"5/25/2022 11:46:19 AM",1.646,29.438,48.591,77.058,70204.1,1032.166,32.159,0.094,0.094,0.189,7.612,95.627,5.532,679.427,0,5.545,5.548,21
"5/25/2022 11:46:19 AM",1.618,29.436,48.597,77.065,70212.3,1032.171,32.164,0.062,0.062,0.116,7.613,95.732,5.538,538.223,0,5.551,5.554,21
"5/25/2022 11:46:19 AM",1.547,29.434,48.603,77.07,70219.7,1032.175,32.169,0.031,0.031,0.029,7.618,95.757,5.539,548.673,0,5.552,5.555,21
"5/25/2022 11:46:20 AM",1.486,29.434,48.607,77.075,70224,1032.178,32.172,0.008,0.008,0.015,7.618,95.753,5.539,548.673,0,5.552,5.555,21
"5/25/2022 11:46:20 AM",1.415,29.434,48.611,77.081,70229.5,1032.181,32.175,0,0,0,7.62,95.719,5.537,594.297,0,5.549,5.553,21
"5/25/2022 11:46:20 AM",1.314,29.436,48.618,77.092,70238,1032.185,32.18,0.023,0.023,0.029,7.623,95.802,5.541,611.374,0,5.554,5.557,21
"5/25/2022 11:46:20 AM",1.244,29.436,48.618,77.093,70237.8,1032.185,32.179,0.008,0.008,0,7.619,95.752,5.538,640.175,0,5.551,5.554,21
"5/25/2022 11:46:20 AM",1.189,29.438,48.621,77.1,70241.2,1032.186,32.181,0,0,0,7.621,95.712,5.536,676.538,0,5.549,5.552,21
"5/25/2022 11:46:21 AM",1.135,29.437,48.63,77.11,70252.5,1032.193,32.188,0.055,0.055,0.087,7.624,95.772,5.539,664.134,0,5.552,5.555,21
"5/25/2022 11:46:21 AM",1.102,29.436,48.635,77.116,70259.8,1032.198,32.193,0.07,0.07,0.102,7.629,95.725,5.537,699.987,0,5.55,5.553,21
"5/25/2022 11:46:21 AM",1.112,29.436,48.639,77.122,70264.5,1032.2,32.196,0.031,0.031,0.015,7.625,95.732,5.537,636.692,0,5.55,5.553,21
"5/25/2022 11:46:21 AM",1.109,29.438,48.642,77.128,70268.2,1032.202,32.197,0.047,0.047,0.044,7.629,95.742,5.537,620.04,0,5.55,5.553,21
"5/25/2022 11:46:21 AM",1.131,29.436,48.645,77.131,70272.2,1032.205,32.2,0.055,0.055,0.058,7.632,95.745,5.537,632.699,0,5.549,5.552,21
"5/25/2022 11:46:22 AM",1.142,29.436,48.65,77.136,70278.1,1032.209,32.204,0.039,0.039,0.029,7.628,95.663,5.533,649.521,0,5.546,5.549,21
"5/25/2022 11:46:22 AM",1.119,29.436,48.65,77.138,70278.5,1032.209,32.204,0.016,0.016,0,7.63,95.758,5.538,594.891,0,5.551,5.554,21
"5/25/2022 11:46:22 AM",1.114,29.438,48.654,77.144,70282.6,1032.211,32.206,0,0,0,7.635,95.854,5.544,602.623,0,5.557,5.56,21
"5/25/2022 11:46:22 AM",1.163,29.438,48.658,77.151,70288.4,1032.214,32.21,0.031,0.031,0.015,7.629,95.691,5.534,650.625,0,5.547,5.55,21
"5/25/2022 11:46:23 AM",1.194,29.438,48.663,77.157,70294.2,1032.218,32.213,0.086,0.086,0.146,7.627,95.762,5.539,633.208,0,5.551,5.554,21
"5/25/2022 11:46:23 AM",1.187,29.438,48.659,77.153,70289.5,1032.215,32.21,0.062,0.062,0.102,7.63,95.744,5.539,609.42,0,5.552,5.555,21
"5/25/2022 11:46:23 AM",1.119,29.44,48.663,77.16,70293.4,1032.217,32.212,0.039,0.039,0.146,7.631,95.923,5.549,531.766,0,5.562,5.565,21
"5/25/2022 11:46:23 AM",1.041,29.441,48.669,77.17,70301.7,1032.221,32.217,0.055,0.055,0.058,7.631,95.797,5.542,539.922,0,5.555,5.558,21
"5/25/2022 11:46:23 AM",0.982,29.44,48.672,77.173,70305.6,1032.223,32.219,0.039,0.039,0.073,7.638,95.81,5.542,527.943,0,5.555,5.558,21
"5/25/2022 11:46:24 AM",0.882,29.44,48.675,77.177,70309.2,1032.225,32.221,0.023,0.023,0,7.639,95.835,5.543,559.548,0,5.556,5.559,21
"5/25/2022 11:46:24 AM",0.799,29.44,48.68,77.183,70315,1032.229,32.225,0,0,0.015,7.641,95.867,5.545,665.153,0,5.558,5.561,21
"5/25/2022 11:46:24 AM",0.694,29.439,48.679,77.181,70313.7,1032.227,32.224,0,0,0,7.64,95.882,5.546,909.669,0,5.559,5.562,21
"5/25/2022 11:46:24 AM",0.587,29.437,48.679,77.179,70314.5,1032.228,32.225,0,0,0,7.635,95.746,5.538,893.357,0,5.551,5.554,21
"5/25/2022 11:46:24 AM",0.435,29.436,48.681,77.179,70316.8,1032.229,32.227,0,0,0.015,7.632,95.748,5.539,694.635,0,5.552,5.555,21
"5/25/2022 11:46:25 AM",0.348,29.437,48.681,77.18,70316.4,1032.228,32.227,0.023,0.023,0,7.638,95.787,5.542,851.386,0,5.555,5.558,21
"5/25/2022 11:46:25 AM",0.263,29.436,48.683,77.182,70319,1032.23,32.229,0,0,0,7.635,95.821,5.543,732.527,0,5.556,5.559,21
"5/25/2022 11:46:25 AM",0.145,29.438,48.678,77.177,70312.9,1032.225,32.225,0,0,0,7.643,95.722,5.538,876.704,0,5.551,5.554,21
"5/25/2022 11:46:25 AM",0.063,29.438,48.679,77.179,70313.5,1032.225,32.225,0.039,0.039,0.044,7.637,95.922,5.549,664.219,0,5.562,5.565,21
"5/25/2022 11:46:25 AM",0,29.439,48.681,77.183,70315.6,1032.226,32.226,0,0,0,7.637,95.763,5.54,636.012,0,5.553,5.556,21
"5/25/2022 11:46:26 AM",0,29.44,48.684,77.187,70319.2,1032.227,32.228,0,0,0,7.632,95.846,5.545,705.425,0,5.558,5.561,21
"5/25/2022 11:46:26 AM",0,29.439,48.689,77.194,70325.8,1032.231,32.232,0,0,0,7.632,95.801,5.542,737.794,0,5.555,5.558,21
"5/25/2022 11:46:26 AM",0,29.439,48.693,77.199,70330.8,1032.234,32.235,0,0,0,7.632,95.775,5.541,694.04,0,5.553,5.556,21
"5/25/2022 11:46:26 AM",0,29.439,48.695,77.203,70333.3,1032.236,32.236,0,0,0,7.634,95.856,5.545,634.993,0,5.558,5.561,21
"5/25/2022 11:46:27 AM",0.03,29.44,48.699,77.209,70338.4,1032.24,32.239,0,0,0,7.621,95.791,5.542,517.748,0,5.555,5.558,21
"5/25/2022 11:46:27 AM",0.141,29.442,48.696,77.209,70334.7,1032.237,32.236,0.016,0.016,0.058,7.621,95.878,5.547,430.833,0,5.56,5.563,21
"5/25/2022 11:46:27 AM",0.263,29.442,48.703,77.218,70342.9,1032.242,32.241,0.008,0.008,0,7.623,95.895,5.549,421.658,0,5.561,5.565,21
"5/25/2022 11:46:27 AM",0.454,29.44,48.708,77.222,70350.3,1032.248,32.246,0.062,0.062,0.16,7.631,95.817,5.544,327.692,0,5.557,5.56,21
"5/25/2022 11:46:27 AM",0.574,29.44,48.71,77.225,70353.3,1032.251,32.248,0.491,0.491,1.063,7.632,95.781,5.543,382.661,0,5.555,5.559,21
"5/25/2022 11:46:28 AM",0.686,29.437,48.715,77.227,70359.1,1032.255,32.252,0.616,0.616,1.617,7.619,95.72,5.539,498.801,0,5.552,5.555,21
"5/25/2022 11:46:28 AM",0.839,29.435,48.724,77.237,70371.5,1032.264,32.261,0.164,0.164,0.699,7.611,95.744,5.54,608.06,0,5.553,5.556,21
"5/25/2022 11:46:28 AM",0.961,29.434,48.73,77.243,70378,1032.269,32.265,0.086,0.086,0.495,7.609,95.94,5.552,536.269,0,5.565,5.568,21
"5/25/2022 11:46:28 AM",1.095,29.434,48.733,77.248,70381.8,1032.271,32.267,0.031,0.031,0.291,7.608,95.868,5.548,428.794,0,5.561,5.564,21
"5/25/2022 11:46:28 AM",1.234,29.434,48.748,77.269,70400.7,1032.283,32.278,0,0,0,7.588,95.831,5.544,338.142,0,5.557,5.561,21
"5/25/2022 11:46:29 AM",1.444,29.438,48.756,77.285,70410.5,1032.289,32.283,0,0,0,7.584,95.861,5.546,204.159,0,5.559,5.562,21
"5/25/2022 11:46:29 AM",1.582,29.439,48.761,77.294,70416.7,1032.293,32.286,0,0,0,7.578,95.881,5.547,122.852,0,5.56,5.563,21
"5/25/2022 11:46:29 AM",1.718,29.439,48.766,77.301,70423.9,1032.298,32.291,0,0,0,7.575,95.816,5.544,77.484,0,5.557,5.56,21
"5/25/2022 11:46:29 AM",1.841,29.44,48.769,77.306,70427.2,1032.3,32.292,0.694,0.694,1.661,7.574,95.87,5.547,88.104,0,5.56,5.563,21
