"Date","Depth..m.","Temp...degC.","Sal.","Cond...mS.cm.","EC25..µS.cm.","Density..kg.m3.","SigmaT","Chl.Flu...ppb.","Chl.a..µg.l.","Turb...FTU.","pH","DO....","Weiss.DO..mg.l.","Quant...µmol..m2.s..","Mark","G.G.DO..mg.l.","B.K.DO..mg.l.","X","Station"
"5/25/2022 5:18:41 PM",1.454,29.365,50.199,79.162,72226.2,1033.408,33.402,0.156,0.156,0.087,7.978,96.609,5.584,37.807,0,5.597,5.6,NA,23
"5/25/2022 5:18:41 PM",1.474,29.364,50.2,79.163,72227.6,1033.409,33.403,0.195,0.195,0.087,7.981,96.56,5.58,39.337,0,5.593,5.597,NA,23
"5/25/2022 5:18:41 PM",1.512,29.365,50.198,79.16,72225.4,1033.408,33.402,0.086,0.086,0.058,7.98,96.462,5.575,42.65,0,5.588,5.592,NA,23
"5/25/2022 5:18:42 PM",1.559,29.364,50.199,79.161,72226.9,1033.409,33.403,0.062,0.062,0.044,7.98,96.475,5.576,42.99,0,5.589,5.592,NA,23
"5/25/2022 5:18:42 PM",1.614,29.365,50.199,79.162,72226.3,1033.409,33.402,0.07,0.07,0.073,7.979,96.454,5.574,41.97,0,5.587,5.591,NA,23
"5/25/2022 5:18:42 PM",1.67,29.364,50.198,79.16,72225,1033.409,33.401,0.062,0.062,0.058,7.983,96.607,5.583,40.441,0,5.596,5.6,NA,23
"5/25/2022 5:18:42 PM",1.68,29.365,50.196,79.157,72222.1,1033.407,33.4,0.062,0.062,0.058,7.986,96.61,5.583,37.977,0,5.596,5.6,NA,23
"5/25/2022 5:18:42 PM",1.621,29.365,50.197,79.159,72223.9,1033.408,33.401,0.055,0.055,0.029,7.986,96.523,5.579,34.069,0,5.592,5.595,NA,23
"5/25/2022 5:18:43 PM",1.585,29.365,50.193,79.154,72219,1033.404,33.398,0.07,0.07,0.073,7.986,96.565,5.581,32.37,0,5.594,5.598,NA,23
"5/25/2022 5:18:43 PM",1.545,29.365,50.191,79.151,72216.6,1033.403,33.396,0.062,0.062,0.087,7.987,96.46,5.575,30.841,0,5.588,5.592,NA,23
"5/25/2022 5:18:43 PM",1.514,29.365,50.191,79.151,72216.8,1033.403,33.396,0.047,0.047,0.029,7.989,96.549,5.58,30.076,0,5.593,5.596,NA,23
