"station_number","avg_salinity_1_2m","label","latitude","longitude"
10,50.8282720588235,"North AFZ",8.5,134.8
11,50.648864,"North NMS",9,134.8
12,50.764758186398,"North NMS",9.5,135.3
13,50.775,"North NMS",9.5,134.8
14,49.8463401639344,"North NMS",9.5,134.3
20,50.285915,"West AFZ",7.7,133.9
21,49.0784154411765,"West DFZ",8.2,132.9
22,49.4676382113821,"West DFZ",7.7,132.9
23,49.9968620689655,"West DFZ",7.2,132.9
24,49.7362941176471,"West DFZ",7.7,133.4
31,49.3783141025641,"South NMS",5.7,133.8
32,50.1481858974359,"South NMS",5.7,134.3
33,50.7929830508475,"South NMS",5.7,134.8
34,49.7673597122302,"South NMS",6.2,134.3
40,50.9421866666667,"East AFZ",7.4,134.9
41,51.1698199052133,"East NMS",7.4,135.4
42,50.3942482269504,"East NMS",6.9,135.9
43,50.797623015873,"East NMS",7.4,135.9
44,52.2630240963855,"East NMS",7.9,135.9
92,NA,"East Shore",7.393544,134.591981
91,NA,"East Lagoon",7.371861,134.606681
90,NA,"East Forereef",7.357681,134.618
72,NA,"West Shore",7.411194,134.487242
71,NA,"West Lagoon",7.433214,134.420814
70,NA,"West Forereef",7.523244,134.377419
82,NA,"North Shore",7.711378,134.604356
81,NA,"North lagoon",7.6419,134.586531
80,NA,"North Forereef",7.70273,134.56409
62,NA,"South Shore",7.0502,134.276308
61,NA,"South Lagoon",7.157083,134.307811
60,NA,"South Forereef",7.095878,134.353394
30,NA,"South AFZ",6.7,134.3
