// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.07
// File Date:2022/05/17 08:39:00
// (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ176-CAD
SondeNo=0203
SensorType=D0D1T1C1C2K0U3O0TOP0TPQ0
SensorType2=030303030303030303030303
Channel=12
Comment=

PreHeat=1000
Interval=200
SampleCnt=521

StartTime=2022/05/17 08:39:00
EndTime=2022/05/17 08:40:44

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=-0.053
StartDepthA=-0.0942003242164601
StartDepthB=-0.0948162730192526

FilmNo=132002A
UseMicroMol=0

CoefDate=2013/12/04 15:09:19

Ch1=-5.57504600e-02,1.761468000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.42696500e00,1.069766000e-03,-1.25829700e-08,2.908103000e-13,-3.55209300e-18,2.587823000e-23,0.000000000e00,0.000000000e00,
Ch4=8.422311000e-03,3.828018000e01,-4.82623500e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.17189500e00,7.800747000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.52763100e00,1.444397000e-02,8.803937000e-08,-2.05935200e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.20210900e01,2.284779000e06,-6.28081300e03,1.020000000e-02,4.400000000e-03,0.000000000e00,-1.27905260e00,1.001023900e00,
Ch9=-5.65509000e00,1.025266000e-03,-8.37467000e-09,1.094405000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch10=6.513151200e00,4.097787250e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.06316300e00,1.735190000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=-8.02874000e01,8.496021000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,DO [%],Weiss-DO [mg/l],Quant. [µmol/(m2*s)],Mark,G&G-DO [mg/l],B&K-DO [mg/l],
5/17/2022 8:39:00 AM,0.000,29.555,1.710,3.582,3256.1,997.062,0.000,33.395,33.395,0.000,8.256,96.266,7.294,90.058,0,7.315,7.315,
5/17/2022 8:39:00 AM,0.000,29.445,1.152,2.458,2239.1,996.678,0.000,126.832,126.832,77.679,8.255,95.827,7.275,90.228,0,7.296,7.296,
5/17/2022 8:39:00 AM,0.000,29.270,0.956,2.052,1875.7,996.584,0.000,418.432,418.432,1034.007,8.255,95.260,7.235,92.777,0,7.256,7.256,
5/17/2022 8:39:00 AM,0.000,29.482,29.028,48.929,44537.2,1017.428,17.429,79.232,79.232,273.092,8.256,95.192,6.187,97.449,0,6.205,6.205,
5/17/2022 8:39:01 AM,0.000,29.562,1.359,2.883,2619.8,996.798,0.000,22.139,22.139,70.251,8.256,95.123,7.198,105.521,0,7.219,7.219,
5/17/2022 8:39:01 AM,0.000,29.576,38.926,63.614,57795.3,1024.819,24.819,6.475,6.475,19.563,8.257,94.991,5.840,111.723,0,5.856,5.857,
5/17/2022 8:39:01 AM,0.000,29.577,0.864,1.875,1703.2,996.424,0.000,2.590,2.590,0.000,8.258,94.833,7.191,115.716,0,7.211,7.211,
5/17/2022 8:39:01 AM,0.000,29.444,0.808,1.753,1597.3,996.421,0.000,24.674,24.674,0.000,8.259,94.734,7.184,120.728,0,7.205,7.205,
5/17/2022 8:39:01 AM,0.000,29.450,50.928,80.282,73123.2,1033.924,33.925,12.731,12.731,50.280,8.259,94.575,5.439,126.506,0,5.452,5.455,
5/17/2022 8:39:02 AM,0.000,29.572,48.669,77.355,70285.0,1032.170,32.170,3.721,3.721,13.277,8.260,94.479,5.501,133.727,0,5.514,5.517,
5/17/2022 8:39:02 AM,0.000,29.614,48.667,77.410,70277.3,1032.153,32.154,1.264,1.264,3.894,8.260,94.341,5.492,128.630,0,5.505,5.509,
5/17/2022 8:39:02 AM,0.000,29.621,48.645,77.391,70249.2,1032.134,32.135,0.616,0.616,1.515,8.260,94.383,5.495,130.924,0,5.508,5.511,
5/17/2022 8:39:02 AM,0.001,29.628,48.664,77.427,70272.0,1032.146,32.146,0.429,0.429,0.801,8.260,94.459,5.498,124.976,0,5.511,5.514,
5/17/2022 8:39:02 AM,0.116,29.636,48.665,77.440,70273.2,1032.145,32.145,0.335,0.335,0.583,8.263,94.555,5.503,122.852,0,5.516,5.519,
5/17/2022 8:39:03 AM,0.159,29.638,48.648,77.419,70251.2,1032.132,32.131,0.351,0.351,0.845,8.263,94.434,5.496,90.992,0,5.509,5.512,
5/17/2022 8:39:03 AM,0.175,29.637,48.637,77.402,70237.6,1032.124,32.123,0.406,0.406,0.568,8.264,94.341,5.490,89.378,0,5.503,5.506,
5/17/2022 8:39:03 AM,0.184,29.636,48.635,77.398,70234.4,1032.122,32.121,0.359,0.359,0.947,8.262,94.315,5.489,88.359,0,5.502,5.505,
