// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.07
// File Date:2022/05/24 08:20:21
// (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ176-CAD
SondeNo=0203
SensorType=D0D1T1C1C2K0U3O0TOP0TPQ0
SensorType2=030303030303030303030303
Channel=12
Comment=

PreHeat=1000
Interval=200
SampleCnt=332

StartTime=2022/05/24 08:20:21
EndTime=2022/05/24 08:21:28

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=-0.047
StartDepthA=0.239762834807025
StartDepthB=0.246556587471051

FilmNo=132002A
UseMicroMol=0

CoefDate=2013/12/04 15:09:19

Ch1=-5.57504600e-02,1.761468000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.42696500e00,1.069766000e-03,-1.25829700e-08,2.908103000e-13,-3.55209300e-18,2.587823000e-23,0.000000000e00,0.000000000e00,
Ch4=8.422311000e-03,3.828018000e01,-4.82623500e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.17189500e00,7.800747000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.52763100e00,1.444397000e-02,8.803937000e-08,-2.05935200e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.20210900e01,2.284779000e06,-6.28081300e03,1.020000000e-02,4.400000000e-03,0.000000000e00,-1.27905260e00,1.001023900e00,
Ch9=-5.65509000e00,1.025266000e-03,-8.37467000e-09,1.094405000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch10=6.513151200e00,4.097787250e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.06316300e00,1.735190000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=-8.02874000e01,8.496021000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,DO [%],Weiss-DO [mg/l],Quant. [µmol/(m2*s)],Mark,G&G-DO [mg/l],B&K-DO [mg/l],
5/24/2022 8:20:21 AM,0.239,29.595,50.668,80.139,72781.7,1033.677,33.676,0.125,0.125,0.116,7.880,93.753,5.338,303.988,0,5.349,5.353,
5/24/2022 8:20:21 AM,0.232,29.596,50.667,80.139,72780.1,1033.676,33.675,0.086,0.086,0.000,7.899,93.700,5.335,381.726,0,5.346,5.350,
5/24/2022 8:20:21 AM,0.216,29.596,50.667,80.138,72779.9,1033.675,33.675,0.039,0.039,0.000,7.915,93.676,5.333,383.340,0,5.345,5.348,
5/24/2022 8:20:21 AM,0.169,29.595,50.666,80.136,72778.4,1033.674,33.674,0.031,0.031,0.000,7.937,93.811,5.341,401.777,0,5.353,5.356,
5/24/2022 8:20:22 AM,0.110,29.596,50.665,80.136,72777.7,1033.674,33.673,0.062,0.062,0.015,7.948,93.792,5.340,494.723,0,5.352,5.355,
5/24/2022 8:20:22 AM,0.034,29.596,50.671,80.144,72784.8,1033.678,33.677,0.000,0.000,0.000,7.959,93.733,5.336,462.608,0,5.348,5.351,
5/24/2022 8:20:22 AM,0.000,29.597,50.669,80.143,72782.4,1033.676,33.676,0.000,0.000,0.000,7.970,93.755,5.337,485.718,0,5.349,5.353,
5/24/2022 8:20:22 AM,0.000,29.599,50.664,80.139,72776.6,1033.672,33.672,0.000,0.000,0.000,7.983,93.816,5.341,420.723,0,5.353,5.356,
5/24/2022 8:20:22 AM,0.036,29.593,50.670,80.138,72783.8,1033.678,33.678,0.523,0.523,0.510,8.003,93.788,5.339,392.771,0,5.351,5.354,
5/24/2022 8:20:23 AM,0.182,29.592,50.671,80.139,72785.3,1033.680,33.679,0.218,0.218,0.291,8.015,93.802,5.340,327.776,0,5.352,5.355,
5/24/2022 8:20:23 AM,0.262,29.593,50.673,80.143,72788.5,1033.682,33.681,0.187,0.187,0.335,8.025,93.667,5.332,209.597,0,5.344,5.348,
5/24/2022 8:20:23 AM,0.317,29.593,50.673,80.144,72788.3,1033.682,33.680,0.101,0.101,0.073,8.034,93.733,5.336,238.313,0,5.348,5.351,
5/24/2022 8:20:23 AM,0.383,29.594,50.671,80.142,72785.9,1033.680,33.679,0.016,0.016,0.000,8.042,93.727,5.335,243.666,0,5.347,5.351,
5/24/2022 8:20:23 AM,0.453,29.594,50.672,80.143,72787.3,1033.681,33.680,0.109,0.109,0.160,8.052,93.410,5.318,286.571,0,5.329,5.333,
5/24/2022 8:20:24 AM,0.467,29.594,50.671,80.143,72785.8,1033.680,33.678,0.125,0.125,0.146,8.057,93.332,5.313,289.799,0,5.325,5.328,
5/24/2022 8:20:24 AM,0.458,29.595,50.669,80.141,72782.9,1033.678,33.676,0.078,0.078,0.029,8.061,93.305,5.311,265.925,0,5.323,5.326,
5/24/2022 8:20:24 AM,0.430,29.595,50.670,80.143,72784.7,1033.679,33.678,0.000,0.000,0.000,8.065,93.203,5.305,248.763,0,5.317,5.320,
