// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.07
// File Date:2022/05/25 17:36:33
// (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ176-CAD
SondeNo=0203
SensorType=D0D1T1C1C2K0U3O0TOP0TPQ0
SensorType2=030303030303030303030303
Channel=12
Comment=

PreHeat=1000
Interval=200
SampleCnt=289

StartTime=2022/05/25 17:36:33
EndTime=2022/05/25 17:37:32

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.088
StartDepthA=0.108267609642318
StartDepthB=0.111358575927876

FilmNo=132002A
UseMicroMol=0

CoefDate=2013/12/04 15:09:19

Ch1=-5.57504600e-02,1.761468000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.42696500e00,1.069766000e-03,-1.25829700e-08,2.908103000e-13,-3.55209300e-18,2.587823000e-23,0.000000000e00,0.000000000e00,
Ch4=8.422311000e-03,3.828018000e01,-4.82623500e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.17189500e00,7.800747000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.52763100e00,1.444397000e-02,8.803937000e-08,-2.05935200e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.20210900e01,2.284779000e06,-6.28081300e03,1.020000000e-02,4.400000000e-03,0.000000000e00,-1.27905260e00,1.001023900e00,
Ch9=-5.65509000e00,1.025266000e-03,-8.37467000e-09,1.094405000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch10=6.513151200e00,4.097787250e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.06316300e00,1.735190000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=-8.02874000e01,8.496021000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,DO [%],Weiss-DO [mg/l],Quant. [µmol/(m2*s)],Mark,G&G-DO [mg/l],B&K-DO [mg/l],
5/25/2022 5:36:33 PM,0.108,29.353,50.019,78.899,72002.7,1033.270,33.270,1.147,1.147,1.020,7.769,97.072,5.648,32.200,0,5.661,5.665,
5/25/2022 5:36:34 PM,0.087,29.353,50.054,78.946,72045.9,1033.297,33.296,0.468,0.468,0.408,7.791,96.933,5.637,34.154,0,5.650,5.653,
5/25/2022 5:36:34 PM,0.033,29.344,50.133,79.041,72145.8,1033.360,33.359,0.234,0.234,0.306,7.813,96.946,5.634,37.552,0,5.647,5.651,
5/25/2022 5:36:34 PM,0.000,29.341,50.135,79.039,72148.1,1033.361,33.362,0.172,0.172,0.379,7.830,97.100,5.642,43.415,0,5.655,5.659,
5/25/2022 5:36:34 PM,0.000,29.348,50.156,79.078,72173.5,1033.374,33.375,0.148,0.148,0.291,7.861,96.928,5.629,42.650,0,5.643,5.646,
5/25/2022 5:36:34 PM,0.000,29.356,50.120,79.039,72127.3,1033.344,33.345,0.117,0.117,0.306,7.882,97.006,5.634,42.820,0,5.647,5.651,
5/25/2022 5:36:35 PM,0.000,29.370,50.127,79.070,72135.4,1033.345,33.346,0.094,0.094,0.189,7.904,97.107,5.639,41.715,0,5.652,5.655,
5/25/2022 5:36:35 PM,0.000,29.395,50.080,79.041,72072.7,1033.301,33.301,0.109,0.109,0.146,7.926,97.039,5.635,41.546,0,5.649,5.652,
5/25/2022 5:36:35 PM,0.000,29.381,50.100,79.048,72099.5,1033.321,33.321,0.148,0.148,0.218,7.947,96.972,5.630,41.291,0,5.643,5.647,
5/25/2022 5:36:35 PM,0.000,29.376,50.162,79.128,72178.4,1033.370,33.370,0.101,0.101,0.233,7.962,96.811,5.618,41.715,0,5.631,5.635,
5/25/2022 5:36:35 PM,0.000,29.427,50.179,79.225,72193.3,1033.365,33.365,0.133,0.133,0.437,7.970,97.103,5.633,40.271,0,5.646,5.650,
5/25/2022 5:36:36 PM,0.044,29.429,50.098,79.115,72091.0,1033.303,33.303,0.117,0.117,0.320,7.982,97.112,5.634,39.422,0,5.648,5.651,
5/25/2022 5:36:36 PM,0.122,29.454,50.124,79.189,72121.2,1033.314,33.314,0.195,0.195,0.175,7.993,97.114,5.633,38.742,0,5.646,5.650,
5/25/2022 5:36:36 PM,0.263,29.469,50.127,79.213,72122.4,1033.312,33.310,0.172,0.172,0.248,8.005,97.170,5.634,38.147,0,5.647,5.651,
5/25/2022 5:36:36 PM,0.400,29.476,50.063,79.137,72042.4,1033.261,33.260,0.179,0.179,0.218,8.016,97.051,5.628,39.337,0,5.642,5.645,
5/25/2022 5:36:37 PM,0.593,29.437,50.065,79.083,72049.9,1033.278,33.275,0.109,0.109,0.175,8.023,96.917,5.620,39.252,0,5.633,5.636,
5/25/2022 5:36:37 PM,0.835,29.381,50.107,79.059,72108.9,1033.330,33.327,0.101,0.101,0.175,8.031,96.780,5.611,35.683,0,5.624,5.627,
