// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.07
// File Date:2022/05/16 06:37:52
// (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ176-CAD
SondeNo=0203
SensorType=D0D1T1C1C2K0U3O0TOP0TPQ0
SensorType2=030303030303030303030303
Channel=12
Comment=

PreHeat=1000
Interval=200
SampleCnt=402

StartTime=2022/05/16 06:37:52
EndTime=2022/05/16 06:39:14

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.002
StartDepthA=0.0225336427129288
StartDepthB=0.0244989389013172

FilmNo=132002A
UseMicroMol=0

CoefDate=2013/12/04 15:09:19

Ch1=-5.57504600e-02,1.761468000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.42696500e00,1.069766000e-03,-1.25829700e-08,2.908103000e-13,-3.55209300e-18,2.587823000e-23,0.000000000e00,0.000000000e00,
Ch4=8.422311000e-03,3.828018000e01,-4.82623500e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.17189500e00,7.800747000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.52763100e00,1.444397000e-02,8.803937000e-08,-2.05935200e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.20210900e01,2.284779000e06,-6.28081300e03,1.020000000e-02,4.400000000e-03,0.000000000e00,-1.27905260e00,1.001023900e00,
Ch9=-5.65509000e00,1.025266000e-03,-8.37467000e-09,1.094405000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch10=6.513151200e00,4.097787250e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.06316300e00,1.735190000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=-8.02874000e01,8.496021000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,DO [%],Weiss-DO [mg/l],Quant. [µmol/(m2*s)],Mark,G&G-DO [mg/l],B&K-DO [mg/l],
5/16/2022 6:37:52 AM,0.021,28.749,50.535,78.722,72724.2,1033.874,33.874,0.257,0.257,0.073,8.071,91.728,5.350,68.053,0,5.363,5.366,
5/16/2022 6:37:52 AM,0.037,28.748,50.531,78.715,72719.0,1033.871,33.871,0.250,0.250,0.102,8.071,91.673,5.347,67.968,0,5.360,5.363,
5/16/2022 6:37:52 AM,0.044,28.748,50.530,78.715,72718.4,1033.871,33.871,0.250,0.250,0.102,8.072,91.730,5.351,68.308,0,5.364,5.367,
5/16/2022 6:37:52 AM,0.044,28.748,50.534,78.720,72722.6,1033.873,33.873,0.265,0.265,0.116,8.072,91.757,5.352,69.582,0,5.365,5.368,
5/16/2022 6:37:53 AM,0.039,28.749,50.533,78.720,72721.5,1033.872,33.872,0.257,0.257,0.102,8.072,91.740,5.351,67.713,0,5.364,5.367,
5/16/2022 6:37:53 AM,0.018,28.749,50.537,78.725,72726.0,1033.875,33.875,0.289,0.289,0.102,8.072,91.746,5.351,69.158,0,5.364,5.367,
5/16/2022 6:37:53 AM,0.009,28.749,50.534,78.721,72722.4,1033.873,33.873,0.265,0.265,0.087,8.072,91.795,5.354,69.582,0,5.367,5.370,
5/16/2022 6:37:53 AM,0.009,28.750,50.532,78.720,72720.8,1033.872,33.872,0.250,0.250,0.087,8.072,91.666,5.346,68.563,0,5.359,5.363,
5/16/2022 6:37:53 AM,0.009,28.750,50.532,78.720,72720.2,1033.871,33.871,0.250,0.250,0.073,8.072,91.633,5.344,71.197,0,5.357,5.361,
5/16/2022 6:37:54 AM,0.000,28.750,50.534,78.722,72722.1,1033.872,33.872,0.242,0.242,0.087,8.073,91.722,5.350,69.412,0,5.362,5.366,
5/16/2022 6:37:54 AM,0.000,28.750,50.534,78.722,72722.3,1033.872,33.872,0.250,0.250,0.116,8.073,91.758,5.352,68.818,0,5.364,5.368,
5/16/2022 6:37:54 AM,0.000,28.751,50.531,78.719,72718.4,1033.870,33.870,0.250,0.250,0.087,8.073,91.758,5.352,69.752,0,5.364,5.368,
5/16/2022 6:37:54 AM,0.004,28.752,50.531,78.721,72718.4,1033.870,33.870,0.250,0.250,0.087,8.073,91.815,5.355,67.373,0,5.368,5.371,
5/16/2022 6:37:54 AM,0.035,28.752,50.532,78.722,72719.7,1033.871,33.870,0.250,0.250,0.073,8.073,91.660,5.346,68.053,0,5.359,5.362,
5/16/2022 6:37:55 AM,0.091,28.753,50.532,78.723,72719.4,1033.870,33.870,0.242,0.242,0.087,8.073,91.667,5.347,57.433,0,5.359,5.363,
5/16/2022 6:37:55 AM,0.131,28.753,50.533,78.725,72720.7,1033.871,33.871,0.257,0.257,0.102,8.073,91.757,5.352,44.094,0,5.365,5.368,
5/16/2022 6:37:55 AM,0.155,28.753,50.530,78.722,72717.9,1033.870,33.869,0.257,0.257,0.073,8.074,91.706,5.349,46.048,0,5.362,5.365,
5/16/2022 6:37:55 AM,0.151,28.753,50.533,78.725,72721.3,1033.872,33.871,0.250,0.250,0.058,8.073,91.671,5.347,45.454,0,5.360,5.363,
5/16/2022 6:37:56 AM,0.138,28.751,50.532,78.723,72720.7,1033.872,33.871,0.273,0.273,0.073,8.074,91.841,5.356,44.434,0,5.369,5.373,
5/16/2022 6:37:56 AM,0.186,28.752,50.532,78.723,72720.2,1033.871,33.871,0.250,0.250,0.044,8.074,91.660,5.346,41.206,0,5.358,5.362,
5/16/2022 6:37:56 AM,0.266,28.753,50.535,78.727,72723.3,1033.873,33.872,0.265,0.265,0.087,8.074,91.707,5.348,46.218,0,5.361,5.364,
5/16/2022 6:37:56 AM,0.348,28.752,50.538,78.731,72727.9,1033.877,33.875,0.242,0.242,0.116,8.075,91.720,5.349,45.624,0,5.361,5.365,
5/16/2022 6:37:56 AM,0.400,28.751,50.547,78.741,72738.8,1033.884,33.882,0.257,0.257,0.087,8.075,91.745,5.350,46.218,0,5.363,5.366,
5/16/2022 6:37:57 AM,0.450,28.746,50.552,78.741,72745.6,1033.889,33.888,0.257,0.257,0.102,8.075,91.663,5.345,43.670,0,5.358,5.361,
5/16/2022 6:37:57 AM,0.469,28.746,50.552,78.741,72745.6,1033.890,33.888,0.250,0.250,0.087,8.076,91.743,5.349,42.565,0,5.362,5.366,
5/16/2022 6:37:57 AM,0.485,28.746,50.551,78.739,72744.4,1033.889,33.887,0.250,0.250,0.102,8.076,91.787,5.352,41.206,0,5.365,5.368,
5/16/2022 6:37:57 AM,0.492,28.745,50.551,78.739,72745.4,1033.890,33.888,0.234,0.234,0.073,8.076,91.650,5.344,42.140,0,5.357,5.361,
5/16/2022 6:37:57 AM,0.513,28.747,50.551,78.741,72745.2,1033.889,33.887,0.281,0.281,0.116,8.076,91.696,5.347,41.970,0,5.360,5.363,
5/16/2022 6:37:58 AM,0.535,28.747,50.553,78.744,72747.7,1033.891,33.889,0.250,0.250,0.087,8.076,91.751,5.350,40.356,0,5.363,5.367,
5/16/2022 6:37:58 AM,0.549,28.749,50.548,78.740,72740.6,1033.886,33.884,0.242,0.242,0.087,8.076,91.751,5.351,43.160,0,5.363,5.367,
5/16/2022 6:37:58 AM,0.562,28.750,50.548,78.742,72741.0,1033.886,33.884,0.242,0.242,0.087,8.076,91.690,5.347,43.415,0,5.359,5.363,
5/16/2022 6:37:58 AM,0.593,28.751,50.546,78.740,72737.7,1033.884,33.881,0.234,0.234,0.073,8.076,91.650,5.344,40.271,0,5.357,5.361,
