// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.07
// File Date:2022/05/17 06:22:52
// (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ176-CAD
SondeNo=0203
SensorType=D0D1T1C1C2K0U3O0TOP0TPQ0
SensorType2=030303030303030303030303
Channel=12
Comment=

PreHeat=1000
Interval=200
SampleCnt=850

StartTime=2022/05/17 06:22:52
EndTime=2022/05/17 06:25:43

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=-0.119
StartDepthA=-0.0106764500399919
StartDepthB=-0.00741519069602758

FilmNo=132002A
UseMicroMol=0

CoefDate=2013/12/04 15:09:19

Ch1=-5.57504600e-02,1.761468000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.42696500e00,1.069766000e-03,-1.25829700e-08,2.908103000e-13,-3.55209300e-18,2.587823000e-23,0.000000000e00,0.000000000e00,
Ch4=8.422311000e-03,3.828018000e01,-4.82623500e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.17189500e00,7.800747000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.52763100e00,1.444397000e-02,8.803937000e-08,-2.05935200e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.20210900e01,2.284779000e06,-6.28081300e03,1.020000000e-02,4.400000000e-03,0.000000000e00,-1.27905260e00,1.001023900e00,
Ch9=-5.65509000e00,1.025266000e-03,-8.37467000e-09,1.094405000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch10=6.513151200e00,4.097787250e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.06316300e00,1.735190000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=-8.02874000e01,8.496021000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,DO [%],Weiss-DO [mg/l],Quant. [µmol/(m2*s)],Mark,G&G-DO [mg/l],B&K-DO [mg/l],
5/17/2022 6:22:52 AM,0.000,29.221,49.208,77.598,71004.4,1032.702,32.702,3.487,3.487,4.303,8.102,94.863,5.533,63.465,0,5.546,5.549,
5/17/2022 6:22:52 AM,0.000,29.221,49.251,77.656,71057.7,1032.735,32.735,4.782,4.782,5.297,8.102,94.716,5.522,63.890,0,5.535,5.539,
5/17/2022 6:22:52 AM,0.000,29.222,49.254,77.661,71060.7,1032.736,32.736,3.214,3.214,4.040,8.104,94.755,5.524,63.295,0,5.537,5.540,
5/17/2022 6:22:53 AM,0.006,29.221,49.254,77.661,71061.9,1032.737,32.737,1.888,1.888,2.390,8.104,94.574,5.513,64.315,0,5.526,5.529,
5/17/2022 6:22:53 AM,0.000,29.219,49.252,77.656,71059.3,1032.736,32.736,1.077,1.077,1.369,8.105,94.507,5.509,67.204,0,5.522,5.526,
5/17/2022 6:22:53 AM,0.019,29.221,49.272,77.685,71083.6,1032.750,32.750,1.482,1.482,2.113,8.108,94.552,5.511,73.406,0,5.524,5.527,
5/17/2022 6:22:53 AM,0.082,29.221,49.265,77.677,71075.6,1032.746,32.745,1.014,1.014,1.675,8.108,94.542,5.510,73.915,0,5.524,5.527,
5/17/2022 6:22:53 AM,0.136,29.222,49.263,77.674,71072.7,1032.744,32.743,0.850,0.850,1.369,8.109,94.422,5.504,65.249,0,5.517,5.520,
5/17/2022 6:22:54 AM,0.163,29.222,49.275,77.691,71087.5,1032.753,32.752,0.655,0.655,1.005,8.110,94.520,5.509,59.982,0,5.522,5.525,
5/17/2022 6:22:54 AM,0.174,29.222,49.276,77.692,71089.4,1032.754,32.754,1.334,1.334,1.092,8.111,94.550,5.510,58.198,0,5.524,5.527,
5/17/2022 6:22:54 AM,0.189,29.222,49.274,77.689,71087.1,1032.753,32.752,1.272,1.272,1.063,8.111,94.585,5.513,55.649,0,5.526,5.529,
5/17/2022 6:22:54 AM,0.174,29.221,49.271,77.685,71083.1,1032.751,32.750,1.037,1.037,0.932,8.112,94.602,5.514,47.748,0,5.527,5.530,
5/17/2022 6:22:54 AM,0.160,29.221,49.276,77.690,71088.9,1032.754,32.754,1.053,1.053,0.786,8.113,94.681,5.518,44.349,0,5.531,5.534,
5/17/2022 6:22:55 AM,0.169,29.220,49.271,77.682,71082.4,1032.751,32.750,0.835,0.835,0.641,8.113,94.732,5.521,40.271,0,5.534,5.537,
5/17/2022 6:22:55 AM,0.184,29.220,49.276,77.690,71089.3,1032.755,32.754,0.647,0.647,0.495,8.114,94.696,5.519,45.709,0,5.532,5.535,
5/17/2022 6:22:55 AM,0.216,29.221,49.284,77.701,71099.2,1032.761,32.760,0.499,0.499,0.364,8.115,94.735,5.520,38.062,0,5.534,5.537,
5/17/2022 6:22:55 AM,0.309,29.223,49.288,77.710,71104.5,1032.764,32.762,0.359,0.359,0.364,8.116,94.877,5.529,45.284,0,5.542,5.545,
