// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.07
// File Date:2022/05/23 13:56:33
// (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ176-CAD
SondeNo=0203
SensorType=D0D1T1C1C2K0U3O0TOP0TPQ0
SensorType2=030303030303030303030303
Channel=12
Comment=

PreHeat=1000
Interval=200
SampleCnt=295

StartTime=2022/05/23 13:56:33
EndTime=2022/05/23 13:57:33

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=-0.047
StartDepthA=0.00669530825999649
StartDepthB=0.00335889679924984

FilmNo=132002A
UseMicroMol=0

CoefDate=2013/12/04 15:09:19

Ch1=-5.57504600e-02,1.761468000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.42696500e00,1.069766000e-03,-1.25829700e-08,2.908103000e-13,-3.55209300e-18,2.587823000e-23,0.000000000e00,0.000000000e00,
Ch4=8.422311000e-03,3.828018000e01,-4.82623500e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.17189500e00,7.800747000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.52763100e00,1.444397000e-02,8.803937000e-08,-2.05935200e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.20210900e01,2.284779000e06,-6.28081300e03,1.020000000e-02,4.400000000e-03,0.000000000e00,-1.27905260e00,1.001023900e00,
Ch9=-5.65509000e00,1.025266000e-03,-8.37467000e-09,1.094405000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch10=6.513151200e00,4.097787250e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.06316300e00,1.735190000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=-8.02874000e01,8.496021000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,DO [%],Weiss-DO [mg/l],Quant. [µmol/(m2*s)],Mark,G&G-DO [mg/l],B&K-DO [mg/l],
5/23/2022 1:56:33 PM,0.014,30.233,51.006,81.544,73125.2,1033.703,33.703,0.000,0.000,0.000,9.039,96.915,5.474,1003.805,0,5.486,5.489,
5/23/2022 1:56:33 PM,0.015,30.232,50.998,81.531,73114.6,1033.697,33.697,0.070,0.070,0.058,9.040,96.788,5.467,1091.824,0,5.479,5.482,
5/23/2022 1:56:33 PM,0.050,30.229,51.003,81.533,73120.8,1033.702,33.702,0.000,0.000,0.000,9.040,96.855,5.470,1277.462,0,5.482,5.485,
5/23/2022 1:56:33 PM,0.114,30.227,51.008,81.538,73127.8,1033.707,33.706,0.078,0.078,0.058,9.041,96.920,5.473,1234.557,0,5.485,5.489,
5/23/2022 1:56:34 PM,0.163,30.227,51.009,81.539,73128.9,1033.708,33.707,0.211,0.211,0.408,9.042,96.950,5.475,883.076,0,5.487,5.491,
5/23/2022 1:56:34 PM,0.222,30.227,51.011,81.541,73131.0,1033.709,33.708,0.203,0.203,0.349,9.041,96.846,5.469,832.015,0,5.481,5.484,
5/23/2022 1:56:34 PM,0.292,30.227,51.011,81.542,73131.7,1033.710,33.709,0.140,0.140,0.320,9.040,96.970,5.476,474.928,0,5.487,5.491,
5/23/2022 1:56:34 PM,0.377,30.227,51.019,81.553,73142.0,1033.717,33.715,0.078,0.078,0.102,9.042,96.913,5.472,246.130,0,5.484,5.487,
5/23/2022 1:56:34 PM,0.422,30.227,51.023,81.557,73146.7,1033.720,33.718,0.070,0.070,0.058,9.042,96.888,5.471,212.231,0,5.483,5.486,
5/23/2022 1:56:35 PM,0.467,30.225,51.031,81.567,73157.3,1033.727,33.725,0.070,0.070,0.044,9.042,96.971,5.475,202.205,0,5.487,5.490,
5/23/2022 1:56:35 PM,0.483,30.225,51.040,81.580,73168.4,1033.734,33.732,0.070,0.070,0.058,9.039,96.965,5.475,192.775,0,5.487,5.490,
5/23/2022 1:56:35 PM,0.531,30.225,51.043,81.583,73171.6,1033.736,33.734,0.070,0.070,0.029,9.039,96.872,5.469,189.206,0,5.481,5.485,
5/23/2022 1:56:35 PM,0.616,30.225,51.048,81.589,73177.6,1033.740,33.737,0.070,0.070,0.073,9.042,96.866,5.469,190.396,0,5.481,5.484,
5/23/2022 1:56:35 PM,0.742,30.225,51.054,81.598,73185.6,1033.745,33.742,0.094,0.094,0.116,9.043,96.881,5.470,188.612,0,5.482,5.485,
5/23/2022 1:56:36 PM,0.888,30.225,51.061,81.608,73194.7,1033.752,33.748,0.055,0.055,0.029,9.044,96.933,5.473,180.540,0,5.485,5.488,
5/23/2022 1:56:36 PM,1.016,30.224,51.063,81.609,73196.7,1033.753,33.749,0.078,0.078,0.029,9.043,96.919,5.473,168.986,0,5.485,5.488,
5/23/2022 1:56:36 PM,1.127,30.221,51.073,81.620,73210.2,1033.763,33.758,0.078,0.078,0.044,9.043,96.964,5.476,149.190,0,5.488,5.491,
