// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.07
// File Date:2022/05/24 17:13:25
// (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ176-CAD
SondeNo=0203
SensorType=D0D1T1C1C2K0U3O0TOP0TPQ0
SensorType2=030303030303030303030303
Channel=12
Comment=

PreHeat=1000
Interval=200
SampleCnt=409

StartTime=2022/05/24 17:13:25
EndTime=2022/05/24 17:14:48

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.231
StartDepthA=-0.0364847777753285
StartDepthB=-0.0317635451289625

FilmNo=132002A
UseMicroMol=0

CoefDate=2013/12/04 15:09:19

Ch1=-5.57504600e-02,1.761468000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.42696500e00,1.069766000e-03,-1.25829700e-08,2.908103000e-13,-3.55209300e-18,2.587823000e-23,0.000000000e00,0.000000000e00,
Ch4=8.422311000e-03,3.828018000e01,-4.82623500e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.17189500e00,7.800747000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.52763100e00,1.444397000e-02,8.803937000e-08,-2.05935200e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.20210900e01,2.284779000e06,-6.28081300e03,1.020000000e-02,4.400000000e-03,0.000000000e00,-1.27905260e00,1.001023900e00,
Ch9=-5.65509000e00,1.025266000e-03,-8.37467000e-09,1.094405000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch10=6.513151200e00,4.097787250e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.06316300e00,1.735190000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=-8.02874000e01,8.496021000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,DO [%],Weiss-DO [mg/l],Quant. [µmol/(m2*s)],Mark,G&G-DO [mg/l],B&K-DO [mg/l],
5/24/2022 5:13:25 PM,0.000,29.510,51.015,80.490,73224.3,1033.969,33.969,0.538,0.538,0.262,7.764,88.655,5.062,62.871,0,5.074,5.077,
5/24/2022 5:13:25 PM,0.015,29.510,51.016,80.490,73224.5,1033.969,33.969,0.320,0.320,0.218,7.791,88.678,5.064,64.145,0,5.076,5.079,
5/24/2022 5:13:25 PM,0.052,29.510,51.015,80.489,73223.2,1033.969,33.969,0.211,0.211,0.218,7.814,88.687,5.065,67.288,0,5.077,5.080,
5/24/2022 5:13:26 PM,0.122,29.510,50.553,79.856,72648.5,1033.619,33.619,0.203,0.203,0.335,7.844,88.686,5.078,63.210,0,5.089,5.093,
5/24/2022 5:13:26 PM,0.155,29.511,50.679,80.031,72806.1,1033.715,33.714,1.256,1.256,0.495,7.861,88.763,5.079,60.237,0,5.090,5.093,
5/24/2022 5:13:26 PM,0.141,29.511,51.011,80.484,73218.3,1033.966,33.965,0.710,0.710,0.437,7.873,88.655,5.063,60.832,0,5.075,5.078,
5/24/2022 5:13:26 PM,0.094,29.510,51.029,80.507,73240.9,1033.980,33.980,0.328,0.328,0.437,7.883,88.762,5.069,65.589,0,5.080,5.084,
5/24/2022 5:13:26 PM,0.013,29.508,51.022,80.495,73232.5,1033.975,33.975,0.421,0.421,0.335,7.907,88.710,5.066,63.890,0,5.078,5.081,
5/24/2022 5:13:27 PM,0.000,29.507,51.017,80.486,73226.0,1033.971,33.971,0.281,0.281,0.349,7.918,88.723,5.067,57.858,0,5.078,5.082,
5/24/2022 5:13:27 PM,0.000,29.505,51.024,80.495,73236.0,1033.977,33.978,1.802,1.802,1.501,7.927,88.629,5.061,60.577,0,5.073,5.076,
5/24/2022 5:13:27 PM,0.000,29.504,51.033,80.505,73247.0,1033.985,33.985,1.311,1.311,1.282,7.936,88.695,5.065,62.786,0,5.077,5.080,
5/24/2022 5:13:27 PM,0.000,29.505,51.031,80.503,73244.4,1033.983,33.983,0.936,0.936,0.714,7.946,88.663,5.063,53.780,0,5.075,5.078,
5/24/2022 5:13:27 PM,0.248,29.509,51.038,80.519,73253.0,1033.988,33.987,0.374,0.374,0.451,7.956,88.739,5.067,57.858,0,5.079,5.082,
5/24/2022 5:13:28 PM,0.403,29.510,51.040,80.524,73255.5,1033.990,33.988,0.242,0.242,0.320,7.964,88.803,5.071,62.701,0,5.082,5.086,
5/24/2022 5:13:28 PM,0.526,29.510,51.043,80.528,73259.1,1033.993,33.990,0.203,0.203,0.218,7.973,88.783,5.070,65.334,0,5.081,5.085,
5/24/2022 5:13:28 PM,0.655,29.511,50.999,80.468,73203.7,1033.959,33.956,0.179,0.179,0.204,7.981,88.734,5.068,65.419,0,5.080,5.083,
5/24/2022 5:13:28 PM,0.756,29.510,51.052,80.540,73270.3,1034.000,33.997,0.172,0.172,0.218,7.987,88.777,5.069,65.589,0,5.081,5.084,
5/24/2022 5:13:28 PM,0.917,29.511,51.053,80.543,73272.0,1034.002,33.998,0.250,0.250,0.160,7.996,88.681,5.064,59.557,0,5.075,5.078,
5/24/2022 5:13:29 PM,0.988,29.510,51.052,80.540,73269.6,1034.001,33.997,0.335,0.335,0.204,7.999,88.778,5.069,52.760,0,5.081,5.084,
5/24/2022 5:13:29 PM,1.027,29.511,51.051,80.540,73269.3,1034.001,33.996,0.281,0.281,0.248,8.011,88.738,5.067,48.852,0,5.078,5.082,
5/24/2022 5:13:29 PM,1.060,29.511,51.046,80.533,73262.5,1033.997,33.992,0.289,0.289,0.277,8.015,88.744,5.068,47.153,0,5.079,5.083,
5/24/2022 5:13:29 PM,1.119,29.511,51.051,80.540,73269.0,1034.001,33.996,0.351,0.351,0.291,8.022,88.862,5.075,46.898,0,5.086,5.089,
5/24/2022 5:13:29 PM,1.129,29.511,51.053,80.543,73271.2,1034.002,33.997,0.218,0.218,0.248,8.021,88.796,5.071,47.068,0,5.082,5.086,
5/24/2022 5:13:30 PM,1.101,29.511,51.051,80.541,73269.0,1034.001,33.996,0.983,0.983,3.032,8.022,88.789,5.071,44.604,0,5.082,5.085,
5/24/2022 5:13:30 PM,1.087,29.511,51.052,80.543,73270.5,1034.001,33.997,0.881,0.881,1.078,8.027,88.812,5.072,41.546,0,5.083,5.087,
5/24/2022 5:13:30 PM,1.098,29.511,51.049,80.539,73266.8,1033.999,33.995,0.437,0.437,0.568,8.034,88.769,5.070,41.291,0,5.081,5.084,
5/24/2022 5:13:30 PM,1.080,29.512,51.054,80.546,73272.9,1034.003,33.998,1.139,1.139,0.335,8.033,88.777,5.070,42.140,0,5.082,5.085,
5/24/2022 5:13:30 PM,1.040,29.512,51.046,80.535,73262.5,1033.996,33.992,0.577,0.577,0.262,8.036,88.773,5.070,42.650,0,5.082,5.085,
5/24/2022 5:13:31 PM,1.011,29.512,51.054,80.546,73273.0,1034.003,33.998,0.975,0.975,0.684,8.040,88.813,5.072,44.264,0,5.084,5.087,
5/24/2022 5:13:31 PM,0.983,29.512,51.053,80.544,73271.7,1034.002,33.998,0.733,0.733,0.597,8.043,88.771,5.070,46.983,0,5.081,5.085,
5/24/2022 5:13:31 PM,0.961,29.512,51.053,80.545,73271.6,1034.001,33.997,0.250,0.250,0.335,8.050,88.822,5.073,48.003,0,5.085,5.088,
5/24/2022 5:13:31 PM,0.936,29.512,51.051,80.541,73269.1,1034.000,33.996,0.211,0.211,0.233,8.049,88.767,5.070,47.408,0,5.081,5.085,
5/24/2022 5:13:31 PM,0.900,29.511,51.053,80.543,73270.9,1034.001,33.997,0.156,0.156,0.204,8.058,88.816,5.073,47.663,0,5.084,5.088,
5/24/2022 5:13:32 PM,0.853,29.512,51.052,80.543,73270.1,1034.000,33.997,0.179,0.179,0.248,8.056,88.765,5.070,48.597,0,5.081,5.084,
5/24/2022 5:13:32 PM,0.790,29.511,51.050,80.539,73267.6,1033.999,33.995,0.172,0.172,0.248,8.052,88.746,5.069,45.794,0,5.080,5.084,
5/24/2022 5:13:32 PM,0.766,29.511,51.048,80.537,73265.1,1033.997,33.994,0.187,0.187,0.204,8.056,88.894,5.078,43.924,0,5.089,5.092,
5/24/2022 5:13:32 PM,0.750,29.512,51.042,80.529,73257.8,1033.992,33.989,0.164,0.164,0.189,8.061,88.801,5.072,45.029,0,5.084,5.087,
5/24/2022 5:13:32 PM,0.733,29.512,51.047,80.535,73263.1,1033.995,33.992,0.172,0.172,0.189,8.057,88.833,5.074,45.624,0,5.086,5.089,
5/24/2022 5:13:33 PM,0.761,29.511,51.046,80.534,73263.0,1033.996,33.992,0.172,0.172,0.189,8.055,88.858,5.076,48.427,0,5.087,5.090,
5/24/2022 5:13:33 PM,0.848,29.512,51.032,80.515,73244.6,1033.985,33.981,0.164,0.164,0.146,8.058,88.927,5.080,55.904,0,5.091,5.095,
5/24/2022 5:13:33 PM,0.929,29.512,51.042,80.529,73257.6,1033.993,33.989,0.187,0.187,0.160,8.060,88.908,5.079,58.538,0,5.090,5.094,
