Scientific_name,English_name
Acanthurus nigricauda,
Acanthurus spp.,
Acanthurus xanthopterus,
Aethaloperca rogaa,
Anyperodon leucogrammicus,
Aprion virescens,
Bolbometopon muricatum,bumphead parrotfish
Carangoides ferdau,
Carangoides fulvoguttatus,
Carangoides orthogrammus,
Carangoides plagiotaenia,
Carangoides spp.,
Caranx ignobilis,
Caranx lugubris,
Caranx melampygus,
Caranx sexfasciatus,
Caranx spp.,
Cephalopholis argus,
Cephalopholis cyanostigma,
Cephalopholis miniata,
Cephalopholis sonnerati,
Cephalopholis spp.,
Cetoscarus ocellatus,
Cetoscarus spp.,Cetoscarus bicolor = bicolor parrotfish
Chanos chanos,
Cheilinus undulatus,humphead wrasse
Chlorurus bleekeri,
Chlorurus frontalis,
Chlorurus japanensis,
Chlorurus microrhinos,pacific steephead parrotfish
Chlorurus spilurus,
Chlorurus spp.,
Choerodon anchorago,
Cromileptes altivelis,
Diagramma pictum,
Elagatis bipinnulata,
Epinephelus coeruleopunctatus,
Epinephelus corallicola,
Epinephelus fuscoguttatus,brown-marbled grouper
Epinephelus melanostigma,
Epinephelus polyphekadion,
Epinephelus spp.,
Gracila albomarginata,
Grammatorcynus bilineatus,
Gymnocranius spp.,
Gymnosarda unicolor,
Hipposcarus longiceps,pacific longnose parrotfish
Kyphosus cinerascens,
Kyphosus spp.,
Kyphosus vaigiensis,
Lethrinus atkinsoni,
Lethrinus erythracanthus,
Lethrinus erythropterus,
Lethrinus harak,
Lethrinus obsoletus,
Lethrinus olivaceus,
Lethrinus ornatus,
Lethrinus rubrioperculatus,
Lethrinus spp.,
Lethrinus xanthochilus,
Liza vaigiensis,
Lutjanus argentimaculatus,
Lutjanus bohar,two-spot red snapper
Lutjanus ehrenbergii,
Lutjanus fulvus,
Lutjanus gibbus,
Lutjanus monostigma,
Lutjanus rivulatus,
Lutjanus spp.,
Monotaxis grandoculis,
Naso lituratus,Pacific orange-spine unicornfish
Naso spp.,unicornfish
Naso unicornis,Bluespine unicornfish
Parupeneus barberinus,
Parupeneus cyclostomus,
Parupeneus spp.,
Plectorhinchus albovittatus,
Plectorhinchus chaetodonoides,
Plectorhinchus chrysotaenia,
Plectorhinchus gibbosus,
Plectorhinchus lessonii,
Plectorhinchus lineatus,
Plectorhinchus picus,
Plectorhinchus spp.,
Plectorhinchus vittatus,
Plectropomus areolatus,squaretail grouper
Plectropomus laevis,saddleback grouper
Plectropomus leopardus,
Plectropomus oligacanthus,
Plectropomus spp.,
Scarus altipinnis,
Scarus chameleon,
Scarus dimidiatus,
Scarus flavipectoralis,
Scarus forsteni,
Scarus frenatus,
Scarus ghobban,blue-barred parrotfish
Scarus globiceps,
Scarus niger,
Scarus oviceps,
Scarus prasiognathos,greenthroat parrotfish
Scarus psittacus,
Scarus quoyi,
Scarus rivulatus,
Scarus rubroviolaceus,
Scarus schlegeli,
Scarus spinus,
Scarus spp.,
Scarus tricolor,
Scarus xanthopleura,
Scomberomorus commerson,
Siganus argenteus,forktail rabbitfish
Siganus corallinus,
Siganus doliatus,
Siganus fuscescens,
Siganus lineatus,lined rabbitfish
Siganus puellus,masked rabbitfish
Siganus punctatissimus,
Siganus punctatus,goldspotted rabbitfish
Siganus spp.,Siganus luridus = dusky rabbitfish
Sphyraena barracuda,
Sphyraena forsteri,
Sphyraena qenie,
Symphorichthys spilurus,
Trachinotus blochii,
Valamugil seheli,
Variola albimarginata,
Variola louti,
