"Date","Depth..m.","Temp...degC.","Sal.","Cond...mS.cm.","EC25..µS.cm.","Density..kg.m3.","SigmaT","Chl.Flu...ppb.","Chl.a..µg.l.","Turb...FTU.","pH","DO....","Weiss.DO..mg.l.","Quant...µmol..m2.s..","Mark","G.G.DO..mg.l.","B.K.DO..mg.l.","X","Station"
"5/27/2022 5:26:07 AM",0.775,29.968,51.068,81.238,73233.8,1033.849,33.845,0.101,0.101,0.087,5.285,94.895,5.42,0,0,5.432,5.436,NA,43
"5/27/2022 5:26:07 AM",0.754,29.968,51.063,81.23,73227.4,1033.845,33.842,0.109,0.109,0.116,5.288,94.923,5.422,0,0,5.434,5.438,NA,43
"5/27/2022 5:26:07 AM",0.629,29.965,51.066,81.23,73231.1,1033.847,33.845,0.374,0.374,0.131,5.291,94.946,5.423,0,0,5.435,5.439,NA,43
"5/27/2022 5:26:07 AM",0.523,29.963,51.064,81.225,73228.7,1033.846,33.844,0.195,0.195,0.073,5.289,94.96,5.424,0,0,5.436,5.44,NA,43
"5/27/2022 5:26:08 AM",0.421,29.963,51.061,81.221,73225.5,1033.844,33.842,0.109,0.109,0.058,5.289,95.072,5.431,0,0,5.443,5.447,NA,43
"5/27/2022 5:26:08 AM",0.313,29.963,51.061,81.221,73225.5,1033.843,33.842,0.086,0.086,0.102,5.29,95.265,5.442,0,0,5.454,5.458,NA,43
"5/27/2022 5:26:08 AM",0.242,29.964,51.068,81.232,73234.3,1033.848,33.847,0.14,0.14,0.073,5.29,95.005,5.427,0,0,5.439,5.442,NA,43
"5/27/2022 5:26:08 AM",0.257,29.965,51.068,81.234,73233.9,1033.848,33.846,0.117,0.117,0.087,5.292,95.136,5.434,0,0,5.446,5.45,NA,43
"5/27/2022 5:26:08 AM",0.275,29.975,51.066,81.245,73229.7,1033.842,33.841,0.109,0.109,0.044,5.294,95.267,5.442,0,0,5.454,5.458,NA,43
"5/27/2022 5:26:09 AM",0.327,29.973,51.075,81.255,73241.3,1033.85,33.849,0.109,0.109,0.073,5.294,95.304,5.444,0,0,5.456,5.459,NA,43
"5/27/2022 5:26:09 AM",0.369,29.98,51.059,81.242,73220.4,1033.836,33.834,0.109,0.109,0.131,5.296,95.27,5.442,0,0,5.454,5.458,NA,43
"5/27/2022 5:26:09 AM",0.358,29.983,51.056,81.242,73216.4,1033.832,33.831,0.101,0.101,0.102,5.293,95.538,5.457,0,0,5.47,5.473,NA,43
"5/27/2022 5:26:09 AM",0.365,29.985,51.052,81.24,73210.9,1033.828,33.827,0.086,0.086,0.073,5.292,95.394,5.45,0,0,5.462,5.465,NA,43
"5/27/2022 5:26:09 AM",0.348,29.99,51.052,81.248,73211.1,1033.827,33.826,0.078,0.078,0.044,5.294,95.535,5.457,0,0,5.47,5.473,NA,43
"5/27/2022 5:26:10 AM",0.37,29.985,51.058,81.248,73218.4,1033.833,33.832,0.094,0.094,0.073,5.291,95.694,5.466,0,0,5.479,5.482,NA,43
"5/27/2022 5:26:10 AM",0.422,29.988,51.057,81.253,73217.5,1033.832,33.83,0.109,0.109,0.131,5.287,95.582,5.46,0,0,5.472,5.476,NA,43
"5/27/2022 5:26:10 AM",0.449,29.992,51.054,81.254,73213.5,1033.828,33.826,0.109,0.109,0.189,5.282,95.655,5.464,0,0,5.476,5.48,NA,43
"5/27/2022 5:26:10 AM",0.476,29.997,51.047,81.251,73203.6,1033.821,33.819,0.133,0.133,0.204,5.286,95.659,5.465,0,0,5.477,5.48,NA,43
"5/27/2022 5:26:10 AM",0.489,30,51.049,81.259,73206,1033.821,33.819,0.164,0.164,0.131,5.287,95.602,5.461,0,0,5.473,5.477,NA,43
"5/27/2022 5:26:11 AM",0.513,30.002,51.046,81.258,73202.3,1033.819,33.817,0.538,0.538,0.757,5.288,95.607,5.461,0,0,5.473,5.477,NA,43
"5/27/2022 5:26:11 AM",0.522,30,51.043,81.251,73199,1033.817,33.815,0.218,0.218,0.306,5.291,95.635,5.463,0,0,5.475,5.479,NA,43
"5/27/2022 5:26:11 AM",0.53,29.999,51.037,81.24,73190.9,1033.813,33.811,0.133,0.133,0.146,5.292,95.617,5.462,0,0,5.474,5.478,NA,43
"5/27/2022 5:26:11 AM",0.523,29.999,51.033,81.236,73186.7,1033.81,33.808,0.148,0.148,1.165,5.294,95.705,5.467,0,0,5.48,5.483,NA,43
"5/27/2022 5:26:11 AM",0.489,29.998,51.037,81.24,73191.7,1033.813,33.811,0.125,0.125,0.218,5.29,95.544,5.458,0,0,5.47,5.473,NA,43
"5/27/2022 5:26:12 AM",0.445,29.993,51.041,81.238,73196.9,1033.818,33.816,0.46,0.46,0.437,5.289,95.677,5.465,0,0,5.478,5.481,NA,43
"5/27/2022 5:26:12 AM",0.405,29.99,51.045,81.239,73202.8,1033.822,33.82,0.32,0.32,0.233,5.288,95.642,5.463,0,0,5.476,5.479,NA,43
"5/27/2022 5:26:12 AM",0.356,29.988,51.041,81.23,73197.2,1033.819,33.817,0.156,0.156,0.189,5.29,95.699,5.467,0,0,5.479,5.483,NA,43
"5/27/2022 5:26:12 AM",0.297,29.987,51.038,81.224,73194.2,1033.817,33.816,0.101,0.101,0.204,5.293,95.787,5.472,0,0,5.484,5.488,NA,43
"5/27/2022 5:26:12 AM",0.249,29.986,51.039,81.224,73194.7,1033.818,33.817,0.101,0.101,0.146,5.284,95.595,5.461,0,0,5.473,5.477,NA,43
"5/27/2022 5:26:13 AM",0.226,29.985,51.038,81.221,73193.6,1033.817,33.816,0.117,0.117,0.116,5.28,95.8,5.473,0,0,5.485,5.489,NA,43
"5/27/2022 5:26:13 AM",0.195,29.984,51.04,81.222,73196.1,1033.819,33.818,0.094,0.094,0.102,5.28,95.889,5.477,0,0,5.49,5.493,NA,43
"5/27/2022 5:26:13 AM",0.178,29.984,51.032,81.212,73186.7,1033.813,33.812,0.234,0.234,0.146,5.284,95.915,5.48,0,0,5.492,5.495,NA,43
"5/27/2022 5:26:13 AM",0.165,29.986,51.032,81.214,73186.6,1033.812,33.812,0.133,0.133,0.116,5.287,95.881,5.477,0,0,5.49,5.493,NA,43
"5/27/2022 5:26:14 AM",0.16,29.99,51.027,81.213,73179.6,1033.807,33.806,1.209,1.209,0.218,5.285,96.005,5.485,0,0,5.497,5.5,NA,43
"5/27/2022 5:26:14 AM",0.178,29.992,51.027,81.217,73179.7,1033.807,33.806,0.39,0.39,0.131,5.282,96.038,5.486,0,0,5.499,5.502,NA,43
"5/27/2022 5:26:14 AM",0.195,29.996,51.026,81.221,73177.2,1033.804,33.803,0.164,0.164,0.146,5.278,96.131,5.492,0,0,5.504,5.508,NA,43
"5/27/2022 5:26:14 AM",0.193,29.997,51.024,81.221,73175.5,1033.803,33.802,0.125,0.125,0.116,5.277,96.203,5.496,0,0,5.508,5.512,NA,43
"5/27/2022 5:26:14 AM",0.256,29.998,51.024,81.22,73174.7,1033.802,33.801,0.094,0.094,0.058,5.279,96.132,5.491,0,0,5.504,5.507,NA,43
"5/27/2022 5:26:15 AM",0.299,29.996,51.015,81.207,73164.6,1033.797,33.795,0.094,0.094,0.146,5.275,96.047,5.487,0,0,5.5,5.503,NA,43
"5/27/2022 5:26:15 AM",0.362,29.994,51.022,81.213,73173.4,1033.803,33.801,0.094,0.094,0.087,5.274,96.066,5.488,0,0,5.5,5.504,NA,43
"5/27/2022 5:26:15 AM",0.421,29.983,51.02,81.193,73171.6,1033.805,33.803,0.101,0.101,0.073,5.28,95.939,5.48,0,0,5.493,5.496,NA,43
"5/27/2022 5:26:15 AM",0.414,29.989,51.012,81.192,73161.3,1033.797,33.795,0.101,0.101,0.131,5.282,95.986,5.483,0,0,5.496,5.499,NA,43
"5/27/2022 5:26:15 AM",0.416,29.988,51.008,81.184,73156.7,1033.795,33.793,0.101,0.101,0.131,5.28,96.064,5.488,0,0,5.5,5.504,NA,43
"5/27/2022 5:26:16 AM",0.362,29.98,51.015,81.183,73166.3,1033.803,33.801,0.117,0.117,0.291,5.277,96.043,5.487,0,0,5.499,5.503,NA,43
"5/27/2022 5:26:16 AM",0.294,29.977,51.02,81.185,73173,1033.807,33.806,0.133,0.133,0.131,5.284,95.999,5.484,0,0,5.496,5.5,NA,43
"5/27/2022 5:26:16 AM",0.27,29.977,51.03,81.197,73184.6,1033.814,33.813,0.187,0.187,0.073,5.285,96.187,5.494,0,0,5.507,5.51,NA,43
"5/27/2022 5:26:16 AM",0.214,29.98,51.021,81.19,73173.7,1033.807,33.806,0.117,0.117,0.087,5.286,96.356,5.505,0,0,5.517,5.52,NA,43
"5/27/2022 5:26:16 AM",0.184,29.983,51.016,81.188,73166.6,1033.801,33.8,0.117,0.117,0.277,5.282,96.317,5.502,0,0,5.514,5.518,NA,43
"5/27/2022 5:26:17 AM",0.167,29.986,51.01,81.183,73158.7,1033.796,33.795,0.125,0.125,0.306,5.278,96.24,5.498,0,0,5.51,5.513,NA,43
"5/27/2022 5:26:17 AM",0.105,29.99,51.014,81.195,73163.2,1033.797,33.796,0.125,0.125,0.146,5.278,96.434,5.509,0,0,5.522,5.525,NA,43
"5/27/2022 5:26:17 AM",0.091,29.992,51.01,81.193,73158.4,1033.793,33.793,0.117,0.117,0.102,5.276,96.35,5.504,0,0,5.517,5.52,NA,43
"5/27/2022 5:26:17 AM",0.118,29.996,51.009,81.196,73156.2,1033.791,33.791,0.109,0.109,0.102,5.269,96.448,5.51,0,0,5.522,5.526,NA,43
"5/27/2022 5:26:17 AM",0.141,29.998,50.998,81.185,73142.7,1033.782,33.782,0.172,0.172,0.087,5.266,96.491,5.513,0,0,5.525,5.529,NA,43
"5/27/2022 5:26:18 AM",0.259,29.996,50.993,81.175,73136.8,1033.78,33.779,0.117,0.117,0.175,5.263,96.492,5.513,0,0,5.525,5.528,NA,43
"5/27/2022 5:26:18 AM",0.29,30.007,50.99,81.187,73131.7,1033.773,33.772,0.125,0.125,0.102,5.263,96.45,5.51,0,0,5.523,5.526,NA,43
"5/27/2022 5:26:18 AM",0.296,30.021,50.975,81.187,73111.3,1033.757,33.756,0.109,0.109,0.102,5.265,96.456,5.511,0,0,5.523,5.527,NA,43
"5/27/2022 5:26:18 AM",0.311,30.019,50.979,81.19,73116.1,1033.76,33.759,0.101,0.101,0.131,5.27,96.356,5.505,0,0,5.518,5.521,NA,43
