station_number,label,latitude,longitude
92,East Shore,7.393544,134.591981
91,East Lagoon,7.371861,134.606681
90,East Forereef,7.357681,134.618
72,West Shore,7.411194,134.487242
71,West Lagoon,7.433214,134.420814
70,West Forereef,7.523244,134.377419
82,North Shore,7.711378,134.604356
81,North lagoon,7.6419,134.586531
80,North Forereef,7.70273,134.56409
62,South Shore,7.0502,134.276308
61,South Lagoon,7.157083,134.307811
60,South Forereef,7.095878,134.353394
40,East AFZ,7.4,134.9
41,East NMS,7.4,135.4
44,East NMS,7.9,135.9
43,East NMS,7.4,135.9
42,East NMS,6.9,135.9
20,West AFZ,7.7,133.9
24,West DFZ,7.7,133.4
21,West DFZ,8.2,132.9
22,West DFZ,7.7,132.9
23,West DFZ,7.2,132.9
10,North AFZ,8.5,134.8
11,North NMS,9,134.8
14,North NMS,9.5,134.3
13,North NMS,9.5,134.8
12,North NMS,9.5,135.3
30,South AFZ,6.7,134.3
34,South NMS,6.2,134.3
31,South NMS,5.7,133.8
32,South NMS,5.7,134.3
33,South NMS,5.7,134.8
